Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,"Genesis 8:6-13, 20-22","Psalms 116:12-15, 18-19",,2/15/2017,Mark 8:22-26,Weekday
,Genesis 9:1-13,"Psalms 102:16-21, 29, 22-23",,2/16/2017,Mark 8:27-33,Weekday
,Genesis 11:1-9,Psalms 33:10-15,,2/17/2017,Mark 8:34--9:1,Weekday
,Hebrews 11:1-7,"Psalms 145:2-5, 10-11",,2/18/2017,Mark 9:2-13,Saturday Memorial of the Blessed Virgin Mary
,"Leviticus 19:1-2, 17-18","Psalms 103:1-4, 8, 10, 12-13",1 Corinthians 3:16-23,2/19/2017,Matthew 5:38-48,Seventh Sunday in Ordinary Time
,Sirach 1:1-10,"Psalms 93:1-2, 5",,2/20/2017,Mark 9:14-29,Weekday
,Sirach 2:1-11,"Psalms 37:3-4, 18-19, 27-28, 39-40",,2/21/2017,Mark 9:30-37,Weekday
,1 Peter 5:1-4,Psalms 23:1-6,,2/22/2017,Matthew 16:13-19,"The Chair of St. Peter, Apostle (Feast)"
,Sirach 5:1-8,"Psalms 1:1-4, 6",,2/23/2017,Mark 9:41-50,"St. Polycarp, Bishop, Martyr (Memorial)"
,Sirach 6:5-17,"Psalms 119:12, 16, 18, 27, 34-35",,2/24/2017,Mark 10:1-12,Weekday
,Sirach 17:1-15,Psalms 103:13-18,,2/25/2017,Mark 10:13-16,Saturday Memorial of the Blessed Virgin Mary
,Isaiah 49:14-15,"Psalms 62:2-3, 6-9",1 Corinthians 4:1-5,2/26/2017,Matthew 6:24-34,Eighth Sunday in Ordinary Time
,Sirach 17:20-24,"Psalms 32:1-2, 5-7",,2/27/2017,Mark 10:17-27,Weekday
,Sirach 35:1-12,"Psalms 50:5-8, 14, 23",,2/28/2017,Mark 10:28-31,Weekday
,Joel 2:12-18,"Psalms 51:3-6, 12-14, 17",2 Corinthians 5:20--6:2,3/1/2017,"Matthew 6:1-6, 16-18",Ash Wednesday
,Deuteronomy 30:15-20,"Psalms 1:1-4, 6",,3/2/2017,Luke 9:22-25,Thursday after Ash Wednesday
,Isaiah 58:1-9,"Psalms 51:3-6, 18-19",,3/3/2017,Matthew 9:14-15,"St. Katharine Drexel, Virgin (Optional Memorial)"
,Isaiah 58:9-14,Psalms 86:1-6,,3/4/2017,Luke 5:27-32,Saturday after Ash Wednesday
,Genesis 2:7-9; 3:1-7,"Psalms 51:3-6, 12-13, 17",Romans 5:12-19,3/5/2017,"Romans 5:12, 17-19",First Sunday of Lent
,"Leviticus 19:1-2, 11-18","Psalms 19:8-10, 15",,3/6/2017,Matthew 25:31-46,Lenten Weekday
,Isaiah 55:10-11,"Psalms 34:4-7, 16-19",,3/7/2017,Matthew 6:7-15,"Sts. Perpetua and Felicity, Martyrs (Memorial)"
,Jonah 3:1-10,"Psalms 51:3-4, 12-13, 18-19",,3/8/2017,Luke 11:29-32,Lenten Weekday
,"Esther C:12, 14-16, 23-25","Psalms 138:1-3, 7-8",,3/9/2017,Matthew 7:7-12,Lenten Weekday
,Ezekiel 18:21-28,Psalms 130:1-8,,3/10/2017,Matthew 5:20-26,Lenten Weekday
,Deuteronomy 26:16-19,"Psalms 119:1-2, 4-5, 7-8",,3/11/2017,Matthew 5:43-48,Lenten Weekday
,Genesis 12:1-4,"Psalms 33:4-5, 18-20, 22",2 Timothy 1:8-10,3/12/2017,Matthew 17:1-9,Second Sunday of Lent
,Daniel 9:4-10,"Psalms 79:8-9, 11, 13",,3/13/2017,Luke 6:36-38,Lenten Weekday
,"Isaiah 1:10, 16-20","Psalms 50:8-9, 16-17, 21, 23",,3/14/2017,Matthew 23:1-12,Lenten Weekday
,Jeremiah 18:18-20,"Psalms 31:5-6, 14-16",,3/15/2017,Matthew 20:17-28,Lenten Weekday
,Jeremiah 17:5-10,"Psalms 1:1-4, 6",,3/16/2017,Luke 16:19-31,Lenten Weekday
,"Genesis 37:3-4, 12-13, 17-28",Psalms 105:16-21,,3/17/2017,"Matthew 21:33-43, 45-46","St. Patrick, Bishop (Memorial)"
,"Micah 7:14-15, 18-20","Psalms 103:1-4, 9-12",,3/18/2017,"Luke 15:1-3, 11-32",Lenten Weekday
,Exodus 17:3-7,"Psalms 95:1-2, 6-9","Romans 5:1-2, 5-8",3/19/2017,John 4:5-42,Third Sunday of Lent
,"2 Samuel 7:4-5, 12-14, 16","Psalms 89:2-5, 27, 29","Romans 4:13, 16-18, 22",3/20/2017,"Matthew 1:16, 18-21, 24","St. Joseph, Spouse of the Blessed Virgin Mary (Solemnity)"
,"Daniel 3:25, 34-43",Psalms 25:4-9,,3/21/2017,Matthew 18:21-35,Lenten Weekday
,"Deuteronomy 4:1, 5-9","Psalms 147:12-13, 15-16, 19-20",,3/22/2017,Matthew 5:17-19,Lenten Weekday
,Jeremiah 7:23-28,"Psalms 95:1-2, 6-9",,3/23/2017,Luke 11:14-23,Lenten Weekday
,Hosea 14:2-10,"Psalms 81:6-11, 14, 17",,3/24/2017,Mark 12:28-34,Lenten Weekday
,Isaiah 7:10-14; 8:10,Psalms 40:7-11,Hebrews 10:4-10,3/25/2017,Luke 1:26-38,The Annunciation of the Lord (Solemnity)
,"1 Samuel 16:1, 6-7, 10-13",Psalms 23:1-6,Ephesians 5:8-14,3/26/2017,John 9:1-41,Fourth Sunday of Lent
,Wisdom 3:1-9,Psalms 23:1-6,1 John 3:1-2,3/27/2017,John 6:51-58,One Year Anniversary of Mother Angelica's death
,"Ezekiel 47:1-9, 12","Psalms 46:2-3, 5-6, 8-9",,3/28/2017,John 5:1-16,Lenten Weekday
,Isaiah 49:8-15,"Psalms 145:8-9, 13-14, 17-18",,3/29/2017,John 5:17-30,Lenten Weekday
,Exodus 32:7-14,Psalms 106:19-23,,3/30/2017,John 5:31-47,Lenten Weekday
,"Wisdom 2:1, 12-22","Psalms 34:17-21, 23",,3/31/2017,"John 7:1-2, 10, 25-30",Lenten Weekday
,Jeremiah 11:18-20,"Psalms 7:2-3, 9-12",,4/1/2017,John 7:40-53,Lenten Weekday
,Ezekiel 37:12-14,Psalms 130:1-8,Romans 8:8-11,4/2/2017,John 11:1-45,Fifth Sunday of Lent
,"Daniel 13:1-9, 15-17, 19-30, 33-62",Daniel 13:41-62,,4/3/2017,Psalms 23:1-6,Lenten Weekday
,Numbers 21:4-9,"Psalms 102:2-3, 16-21",,4/4/2017,John 8:21-30,Lenten Weekday
,"Daniel 3:14-20, 91-92, 95",Daniel 3:52-56,,4/5/2017,John 8:31-42,Lenten Weekday
,Genesis 17:3-9,Psalms 105:4-9,,4/6/2017,John 8:51-59,Lenten Weekday
,Jeremiah 20:10-13,Psalms 18:2-7,,4/7/2017,John 10:31-42,"St. John Baptist de la Salle, Priest (Memorial)"
,Ezekiel 37:21-28,Jeremiah 31:10-13,,4/8/2017,John 11:45-56,Lenten Weekday
,Isaiah 50:4-7,"Psalms 22:8-9, 17-20, 23-24",Philippians 2:6-11,4/9/2017,Matthew 26:14--27:66,Palm Sunday of the Lord's Passion
,Isaiah 42:1-7,"Psalms 27:1-3, 13-14",,4/10/2017,John 12:1-11,Monday of Holy Week
,Isaiah 49:1-6,"Psalms 71:1-6, 15, 17",,4/11/2017,"John 13:21-33, 36-38",Tuesday of Holy Week
,Isaiah 50:4-9,"Psalms 69:8-10, 21-22, 31, 33-34",,4/12/2017,Matthew 26:14-25,Wednesday of Holy Week
,"Exodus 12:1-8, 11-14","Psalms 116:12-13, 15-18",1 Corinthians 11:23-26,4/13/2017,John 13:1-15,Holy Thursday Evening Mass of the Lord's Supper
,Isaiah 52:13--53:12,"Psalms 31:2, 6, 12-13, 15-17, 25",Hebrews 4:14-16; 5:7-9,4/14/2017,John 18:1--19:42,Friday of the Passion of the Lord (Good Friday)
,Genesis 1:1--2:2,,"Psalms 104:1-2, 5-6, 10, 12-14, 24, 35",4/15/2017,"Psalms 42:3, 5; 43:3-4",Holy Saturday Night:  The Easter Vigil
,"Acts 10:34, 37-43","Psalms 118:1-2, 16-17, 22-23",Colossians 3:1-4,4/16/2017,1 Corinthians 5:6-8,Easter Sunday (Solemnity)
,"Acts 2:14, 22-33","Psalms 16:1-2, 5, 7-11",,4/17/2017,Matthew 28:8-15,Monday in the Octave of Easter
,Acts 2:36-41,"Psalms 33:4-5, 18-20, 22",,4/18/2017,John 20:11-18,Tuesday in the Octave of Easter
,Acts 3:1-10,"Psalms 105:1-4, 6-9",,4/19/2017,Luke 24:13-35,Wednesday in the Octave of Easter
,Acts 3:11-26,"Psalms 8:2, 5-9",,4/20/2017,Luke 24:35-48,Thursday in the Octave of Easter
,Acts 4:1-12,"Psalms 118:1-2, 4, 22-27",,4/21/2017,John 21:1-14,Friday in the Octave of Easter
,Acts 4:13-21,"Psalms 118:1, 14-21",,4/22/2017,Mark 16:9-15,Saturday in the Octave of Easter
,Acts 2:42-47,"Psalms 118:2-4, 13-15, 22-24",1 Peter 1:3-9,4/23/2017,John 20:19-31,Second Sunday of Easter or Divine Mercy Sunday
,"Revelation 3:7-8, 10-12",2 Timothy 2:8-13; 3:10-12,,4/24/2017,Psalms 119:137-144,"St. Fidelis of Sigmaringen, Capuchin, Priest, Martyr (Feast)"
,1 Peter 5:5-14,"Psalms 89:2-3, 6-7, 16-17",,4/25/2017,Mark 16:15-20,"St. Mark, Evangelist (Feast)"
,Acts 5:17-26,Psalms 34:2-9,,4/26/2017,John 3:16-21,Easter Weekday
,Acts 5:27-33,"Psalms 34:2, 9, 17-20",,4/27/2017,John 3:31-36,Easter Weekday
,Acts 5:34-42,"Psalms 27:1, 4, 13-14",,4/28/2017,John 6:1-15,"St. Louis Grignion de Montfort, Priest (Optional Memorial)"
,Acts 6:1-7,"Psalms 33:1-2, 4-5, 18-19",,4/29/2017,John 6:16-21,"St. Catherine of Siena, Virgin, Doctor of the Church (Memorial)"
,"Acts 2:14, 22-33","Psalms 16:1-2, 5, 7-11",1 Peter 1:17-21,4/30/2017,Luke 24:13-35,Third Sunday of Easter
,Genesis 1:26--2:3,"Colossians 3:14-15, 17, 23-24",,5/1/2017,"Psalms 90:2-4, 12-14, 16",St. Joseph the Worker (Optional Memorial)
,Acts 7:51--8:1,"Psalms 31:3-4, 6-8, 17, 21",,5/2/2017,John 6:30-35,"St. Athanasius, Bishop, Doctor of the Church (Memorial)"
,1 Corinthians 15:1-8,Psalms 19:2-5,,5/3/2017,John 14:6-14,"Saints Philip and James, Apostles (Feast)"
,Acts 8:26-40,"Psalms 66:8-9, 16-17, 20",,5/4/2017,John 6:44-51,Easter Weekday
,Acts 9:1-20,Psalms 117:1-2,,5/5/2017,John 6:52-59,Easter Weekday
,Acts 9:31-42,Psalms 116:12-17,,5/6/2017,John 6:60-69,Easter Weekday
,"Acts 2:14, 36-41",Psalms 23:1-6,1 Peter 2:20-25,5/7/2017,John 10:1-10,Fourth Sunday of Easter
,Acts 11:1-18,Psalms 42:2-3; 43:3-4,,5/8/2017,John 10:11-18,Easter Weekday
,Acts 11:19-26,Psalms 87:1-7,,5/9/2017,John 10:22-30,Easter Weekday
