Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,"Wisdom 12:13, 16-19","Psalms 86:5-6, 9-10, 15-16",Romans 8:26-27,7/23/2017,Matthew 13:24-43,Sixteenth Sunday in Ordinary Time
,Exodus 14:5-18,Exodus 15:1-6,,7/24/2017,Matthew 12:38-42,"St. Sharbel Makhluf, Priest (Optional Memorial)"
,2 Corinthians 4:7-15,Psalms 126:1-6,,7/25/2017,Matthew 20:20-28,"St. James, Apostle (Feast)"
,"Sirach 44:1, 10-15","Psalms 132:11, 13-14, 17-18",,7/26/2017,Matthew 13:16-17,"Saints Joachim and Anne, Parents of the Blessed Virgin Mary (Memorial)"
,"Exodus 19:1-2, 9-11, 16-20",Daniel 3:52-56,,7/27/2017,Matthew 13:10-17,Weekday
,Exodus 20:1-17,Psalms 19:8-11,,7/28/2017,Matthew 13:18-23,Votive Mass of the Precious Blood
,Exodus 24:3-8,"Psalms 50:1-2, 5-6, 14-15",,7/29/2017,John 11:19-27,St. Martha (Memorial)
,"1 Kings 3:5, 7-12","Psalms 119:57, 72, 76-77, 127-130",Romans 8:28-30,7/30/2017,Matthew 13:44-52,Seventeenth Sunday in Ordinary Time
,"Exodus 32:15-24, 30-34",Psalms 106:19-23,,7/31/2017,Matthew 13:31-35,"St. Ignatius of Loyola, Priest (Memorial)"
,"Exodus 33:7-11; 34:5-9, 28",Psalms 103:6-13,,8/1/2017,Matthew 13:36-43,"St. Alphonsus Liguori, Bishop, Doctor of the Church (Memorial)"
,"Sirach 24:1-4, 16, 22-24","Psalms 34:5, 7, 9-10, 18-19",Galatians 4:3-7,8/2/2017,Luke 1:26-33,Our Lady of the Angels of Portiuncula (Solemnity)
,"Exodus 40:16-21, 34-38","Psalms 84:3-6, 8, 11",,8/3/2017,Matthew 13:47-53,Weekday
,"Leviticus 23:1, 4-11, 15-16, 27, 34-37","Psalms 81:3-6, 10-11",,8/4/2017,Matthew 13:54-58,"St. John Mary Vianney, Priest (Memorial)"
,"Leviticus 25:1, 8-17","Psalms 67:2-3, 5, 7-8",,8/5/2017,Matthew 14:1-12,Dedication of the Basilica of Saint Mary Major in Rome (Optional Memorial)
,"Daniel 7:9-10, 13-14","Psalms 97:1-2, 5-6, 9",2 Peter 1:16-19,8/6/2017,Matthew 17:1-9,The Transfiguration of the Lord (Feast)
,Numbers 11:4-15,Psalms 81:12-17,,8/7/2017,Matthew 14:13-21,Weekday
,2 Timothy 4:1-5,"Psalms 37:3-6, 30-31",,8/8/2017,Matthew 5:13-16,"Holy Father Dominic, Priest, Founder of the Order of Preachers (Feast)"
,"Numbers 13:1-2, 25--14:1, 26-29, 34-35","Psalms 106:6-7, 13-14, 21-23",,8/9/2017,Matthew 15:21-28,"St. Teresa Benedicta of the Cross (Edith Stein), Virgin and Martyr (Optional Memorial)"
,2 Corinthians 9:6-10,"Psalms 112:1-2, 5-9",,8/10/2017,John 12:24-26,"St. Lawrence, Deacon, Martyr (Feast)"
,"Hosea 2:16, 17, 21-22","2 Corinthians 4:6-10, 16-18",,8/11/2017,"Psalms 45:11-12, 14-16","St. Clare of Assisi, Virgin, Foundress of II Order (Feast)"
,Deuteronomy 6:4-13,"Psalms 18:2-4, 47, 51",,8/12/2017,Matthew 17:14-20,Saturday Memorial of the Blessed Virgin Mary
,"1 Kings 19:9, 11-13",Psalms 85:9-14,Romans 9:1-5,8/13/2017,Matthew 14:22-33,Nineteenth Sunday in Ordinary Time
,1 John 3:13-18,"Psalms 116:10-13, 16-17",,8/14/2017,John 15:12-17,"St. Maximilian Mary Kolbe, Priest, Martyr (Memorial)"
,"Revelation 11:19; 12:1-6, 10","Psalms 45:10-12, 16",1 Corinthians 15:20-27,8/15/2017,Luke 1:39-56,The Assumption of the Blessed Virgin Mary (Solemnity)
,Deuteronomy 34:1-12,"Psalms 66:1-3, 5, 8, 16-17",,8/16/2017,Matthew 18:15-20,Weekday
,"Joshua 3:7-11, 13-17",Psalms 114:1-6,,8/17/2017,Matthew 18:21--19:1,Weekday
,Joshua 24:1-13,"Psalms 136:1-3, 16-18, 21-22, 24",,8/18/2017,Matthew 19:3-12,Weekday
,Joshua 24:14-29,"Psalms 16:1-2, 5, 7-8, 11",,8/19/2017,Matthew 19:13-15,"St. Louis, Bishop (Optional Memorial)"
,"Isaiah 56:1, 6-7","Psalms 67:2-3, 5-6, 8","Romans 11:13-15, 29-32",8/20/2017,Matthew 15:21-28,Twentieth Sunday in Ordinary Time
,Judges 2:11-19,"Psalms 106:34-37, 39-40, 43-44",,8/21/2017,Matthew 19:16-22,"St. Pius X, Pope (Memorial)"
,Isaiah 9:1-6,Psalms 113:1-8,,8/22/2017,Luke 1:26-38,The Queenship of the Blessed Virgin Mary (Memorial)
,Judges 9:6-15,Psalms 21:2-7,,8/23/2017,Matthew 20:1-16,"St. Rose of Lima, Virgin (Optional Memorial)"
,Revelation 21:9-14,"Psalms 145:10-13, 17-18",,8/24/2017,John 1:45-51,"St. Bartholomew, Apostle (Feast)"
,"Ruth 1:1, 3-6, 14-16, 22",Psalms 146:5-10,,8/25/2017,Matthew 22:34-40,"St. Louis IX of France, King, Patron of the Third Order (Memorial)"
,"Ruth 2:1-3, 8-11; 4:13-17",Psalms 128:1-5,,8/26/2017,Matthew 23:1-12,Saturday Memorial of the Blessed Virgin Mary
,Isaiah 22:19-23,"Psalms 138:1-3, 6, 8",Romans 11:33-36,8/27/2017,Matthew 16:13-20,Twenty-First Sunday in Ordinary Time
,"1 Thessalonians 1:1-5, 8-10","Psalms 149:1-6, 9",,8/28/2017,Matthew 23:13-22,"St. Augustine, Bishop, Doctor of the Church (Memorial)"
,Jeremiah 1:17-19,"Psalms 71:1-6, 15, 17",,8/29/2017,Mark 6:17-29,The Passion of St. John the Baptist (Memorial)
,1 Thessalonians 2:9-13,Psalms 139:7-12,,8/30/2017,Matthew 23:27-32,Weekday
,1 Thessalonians 3:7-13,"Psalms 90:3-5, 12-14, 17",,8/31/2017,Matthew 24:42-51,Weekday
,1 Thessalonians 4:1-8,"Psalms 97:1-2, 5-6, 10-12",,9/1/2017,Matthew 25:1-13,Votive Mass of the Sacred Heart
,1 Thessalonians 4:9-11,"Psalms 98:1, 7-9",,9/2/2017,Matthew 25:14-30,Saturday Memorial of the Blessed Virgin Mary
,Jeremiah 20:7-9,"Psalms 63:2-6, 8-9",Romans 12:1-2,9/3/2017,Matthew 16:21-27,Twenty-Second Sunday in Ordinary Time
,"Genesis 2:4-9, 15","Psalms 90:2-5, 12-14, 16",,9/4/2017,Matthew 6:31-34,Labor Day
,"1 Thessalonians 5:1-6, 9-11","Psalms 27:1, 4, 13-14",,9/5/2017,Luke 4:31-37,St. Teresa of Calcutta (Optional Memorial)
,Colossians 1:1-8,Psalms 52:10-11,,9/6/2017,Luke 4:38-44,Weekday
,Colossians 1:9-14,Psalms 98:2-6,,9/7/2017,Luke 5:1-11,Weekday
,Micah 5:1-4,Romans 8:28-30,,9/8/2017,Psalms 13:6,The Nativity of the Blessed Virgin Mary (Feast)
,Colossians 1:21-23,"Psalms 54:3-4, 6, 8",,9/9/2017,Luke 6:1-5,"St. Peter Claver, Priest (Memorial)"
,Ezekiel 33:7-9,"Psalms 95:1-2, 6-9",Romans 13:8-10,9/10/2017,Matthew 18:15-20,Twenty-Third Sunday in Ordinary Time
,Colossians 1:24--2:3,"Psalms 62:6-7, 9",,9/11/2017,Luke 6:6-11,Commemoration of 9/11
,Galatians 4:4-7,"Ephesians 1:3-6, 11-12",,9/12/2017,Luke 1:46-55,The Most Holy Name of Mary (Optional Memorial)
,Colossians 3:1-11,"Psalms 145:2-3, 10-13",,9/13/2017,Luke 6:20-26,"St. John Chrysostom, Bishop, Doctor of the Church (Memorial)"
,Numbers 21:4-9,"Psalms 78:1-2, 34-38",Philippians 2:6-11,9/14/2017,John 3:13-17,Exaltation of the Holy Cross (Feast)
,Hebrews 5:7-9,"Psalms 31:2-6, 15-16, 20",,9/15/2017,John 19:25-27,Our Lady of Sorrows (Memorial)
,1 Timothy 1:15-17,Psalms 113:1-7,,9/16/2017,Luke 6:43-49,"St. Cornelius, Pope, Martyr and St. Cyprian, Bishop, Martyr (Memorial)"
,Sirach 27:30--28:9,"Psalms 103:1-4, 9-12",Romans 14:7-9,9/17/2017,Matthew 18:21-35,Twenty-Fourth Sunday in Ordinary Time
,"1 Corinthians 12:31; 13:1-10, 13","Psalms 25:1-5, 8-10",,9/18/2017,Matthew 11:25-30,"St. Joseph of Cupertino, Priest (Memorial)"
,1 Timothy 3:1-13,"Psalms 101:1-3, 5-6",,9/19/2017,Luke 7:11-17,St. Francis Mary of Camporosso (Memorial)
,1 Timothy 3:14-16,Psalms 111:1-6,,9/20/2017,Luke 7:31-35,"Sts. Andrew Kim Taegon, Priest, Martyr, Paul Chong Hasang, Martyr and Their Companions, Martyrs (Memorial)"
,"Ephesians 4:1-7, 11-13",Psalms 19:2-5,,9/21/2017,Matthew 9:9-13,"St. Matthew, Apostle, Evangelist (Feast)"
,1 Timothy 6:2-12,"Psalms 49:6-10, 17-20",,9/22/2017,Luke 8:1-3,Weekday
,Galatians 2:19-20,"Psalms 16:1-2, 5-8, 11",,9/23/2017,Matthew 16:24-27,"St. Pio of Pietrelcina, Priest (Memorial)"
,Isaiah 55:6-9,"Psalms 145:2-3, 8-9, 17-18","Philippians 1:20-24, 27",9/24/2017,Matthew 20:1-16,Twenty-Fifth Sunday in Ordinary Time
,Ezra 1:1-6,Psalms 126:1-6,,9/25/2017,Luke 8:16-18,Weekday
,"Ezra 6:7-8, 12, 14-20",Psalms 122:1-5,,9/26/2017,Luke 8:19-21,Weekday
,Ezra 9:5-9,"Tobit 13:2-4, 7-8",,9/27/2017,Luke 9:1-6,"St. Vincent de Paul, Priest (Memorial)"
,Haggai 1:1-8,"Psalms 149:1-6, 9",,9/28/2017,Luke 9:7-9,Weekday
,"Daniel 7:9-10, 13-14",Revelation 12:7-12,,9/29/2017,Psalms 138:1-5,"Sts. Michael, Gabriel, and Raphael, Archangels (Feast)"
,"Zechariah 2:5-9, 14-15",Jeremiah 31:10-13,,9/30/2017,Luke 9:43-45,"St. Jerome, Priest, Doctor of the Church (Memorial)"
,Ezekiel 18:25-28,Psalms 25:4-9,Philippians 2:1-11,10/1/2017,Philippians 2:1-5,Twenty-Sixth Sunday in Ordinary Time
,Exodus 23:20-23,"Psalms 91:1-6, 10-11",,10/2/2017,"Matthew 18:1-5, 10",Guardian Angels (Memorial)
,Zechariah 8:20-23,Psalms 87:1-7,,10/3/2017,Luke 9:51-56,Weekday
,"Sirach 50:1, 3-4, 6-7","Psalms 16:1-2, 5, 7-8, 11",Galatians 6:14-18,10/4/2017,Matthew 11:25-30,"St. Francis of Assisi, Deacon, Religious, Founder of the Three Orders (Solemnity)"
,Nehemiah 8:1-12,Psalms 19:8-11,,10/5/2017,Luke 10:1-12,"St. Faustina, Virgin (Optional Memorial)"
,Baruch 1:15-22,"Psalms 79:1-5, 8-9",,10/6/2017,Luke 10:13-16,Votive Mass of the Sacred Heart
,Acts 1:12-14,Luke 1:46-55,,10/7/2017,Luke 1:26-38,Our Lady of the Rosary (Memorial)
,Isaiah 5:1-7,"Psalms 80:9, 12-16, 19-20",Philippians 4:6-9,10/8/2017,Matthew 21:33-43,Twenty-Seventh Sunday in Ordinary Time
,"Jonah 1:1--2:2, 11","Jonah 2:3-5, 8",,10/9/2017,Luke 10:25-37,Weekday
,Jonah 3:1-10,"Psalms 130:1-4, 7-8",,10/10/2017,Luke 10:38-42,Weekday
,Jonah 4:1-11,"Psalms 86:3-6, 9-10",,10/11/2017,Luke 11:1-4,Weekday
,Malachi 3:13-20,"Psalms 1:1-4, 6",,10/12/2017,Luke 11:5-13,"St. Seraphin of Montegranaro, Religious (Memorial)"
,Joel 1:13-15; 2:1-2,"Psalms 9:2-3, 6, 16, 8-9",,10/13/2017,Luke 11:15-26,Weekday
,Joel 4:12-21,"Psalms 97:1-2, 5-6, 11-12",,10/14/2017,Luke 11:27-28,Saturday Memorial of the Blessed Virgin Mary
,Isaiah 25:6-10,Psalms 23:1-6,"Philippians 4:12-14, 19-20",10/15/2017,Matthew 22:1-14,Twenty-Eighth Sunday in Ordinary Time
,Romans 1:1-7,Psalms 98:1-4,,10/16/2017,Luke 11:29-32,"St. Margaret Mary Alacoque, Virgin (Optional Memorial)"
,Romans 1:16-25,Psalms 19:2-5,,10/17/2017,Luke 11:37-41,"St. Ignatius of Antioch, Bishop, Martyr (Memorial)"
,2 Timothy 4:10-17,"Psalms 145:10-13, 17-18",,10/18/2017,Luke 10:1-9,"St. Luke, Evangelist (Feast)"
,Romans 3:21-30,Psalms 130:1-6,,10/19/2017,Luke 11:47-54,"Saints John de Brébeuf and Isaac Jogues, Priests, Martyrs and Companions (Memorial)"
,Romans 4:1-8,"Psalms 32:1-2, 5, 11",,10/20/2017,Luke 12:1-7,Weekday
,"Romans 4:13, 16-18","Psalms 105:6-9, 42-43",,10/21/2017,Luke 12:8-12,Saturday Memorial of the Blessed Virgin Mary
,"Isaiah 45:1, 4-6","Psalms 96:1, 3-5, 7-10",1 Thessalonians 1:1-5,10/22/2017,Matthew 22:15-21,Twenty-Ninth Sunday in Ordinary Time
,Romans 4:20-25,Luke 1:69-75,,10/23/2017,Luke 12:13-21,"St. John of Capistrano, OFM, Priest (Memorial)"
,"Romans 5:12, 15, 17-19, 20-21","Psalms 40:7-10, 17",,10/24/2017,Luke 12:35-38,Weekday
,Romans 6:12-18,Psalms 124:1-8,,10/25/2017,Luke 12:39-48,Weekday
,Romans 6:19-23,"Psalms 1:1-4, 6",,10/26/2017,Luke 12:49-53,Weekday
,Romans 7:18-25,"Psalms 119:66, 68, 76-77, 93-94",,10/27/2017,Luke 12:54-59,Weekday
,Ephesians 2:19-22,Psalms 19:2-5,,10/28/2017,Luke 6:12-16,"Saints Simon and Jude, Apostles (Feast)"
,Exodus 22:20-26,"Psalms 18:2-4, 47, 51",1 Thessalonians 1:5-10,10/29/2017,Matthew 22:34-40,Thirtieth Sunday in Ordinary Time
,Romans 8:12-17,"Psalms 68:2, 4, 6-7, 20-21",,10/30/2017,Luke 13:10-17,Weekday
,Romans 8:18-25,Psalms 126:1-6,,10/31/2017,Luke 13:18-21,Weekday
,"Revelation 7:2-4, 9-14",Psalms 24:1-6,1 John 3:1-3,11/1/2017,Matthew 5:1-12,All Saints (Solemnity)
,Wisdom 3:1-9,"Psalms 27:1, 4, 7-9, 13-14",Romans 5:5-11,11/2/2017,John 11:17-27,The Commemoration of All the Faithful Departed (All Souls)
,Romans 9:1-5,"Psalms 147:12-15, 19-20",,11/3/2017,Luke 14:1-6,"St. Martin de Porres, Religious (Optional Memorial)"
,"Romans 11:1-2, 11-12, 25-29","Psalms 94:12-13, 14-15, 17-18",,11/4/2017,"Luke 14:1, 7-11","St. Charles Borromeo, Bishop (Memorial)"
,"Malachi 1:14--2:2, 8-10",Psalms 131:1-3,"1 Thessalonians 2:7-9, 13",11/5/2017,Matthew 23:1-12,Thirty-First Sunday in Ordinary Time
,Wisdom 3:1-9,Psalms 23:1-6,,11/6/2017,John 6:37-40,Commemoration of All the Deceased of the Seraphic Order (Memorial)
,Romans 12:5-16,Psalms 131:1-3,,11/7/2017,Luke 14:15-24,Weekday
,Romans 13:8-10,"Psalms 112:1-2, 4-5, 9",,11/8/2017,Luke 14:25-33,"Blessed John Duns Scotus, Priest (Optional Memorial)"
,"Ezekiel 47:1-2, 8-9, 12","Psalms 46:2-3, 5-6, 8-9","1 Corinthians 3:9-11, 16-17",11/9/2017,John 2:13-22,The Dedication of the Lateran Basilica (Feast)
,Romans 15:14-21,Psalms 98:1-4,,11/10/2017,Luke 16:1-8,"St. Leo the Great, Pope, Doctor of the Church (Memorial)"
,"Romans 16:3-9, 16, 22-27","Psalms 145:2-5, 10-11",,11/11/2017,Luke 16:9-15,"St. Martin of Tours, Bishop (Memorial)"
,Wisdom 6:12-16,Psalms 63:2-8,1 Thessalonians 4:13-18,11/12/2017,1 Thessalonians 4:13-14,Thirty-Second Sunday in Ordinary Time
,Wisdom 1:1-7,Psalms 139:1-10,,11/13/2017,Luke 17:1-6,"St. Frances Xavier Cabrini, Virgin (Memorial)"
,Wisdom 2:23--3:9,"Psalms 34:2-3, 16-19",,11/14/2017,Luke 17:7-10,"St. Nicholas Tavelic, OFM, Priest, and Companions, Martyrs (Memorial)"
,Wisdom 6:1-11,"Psalms 82:3-4, 6-7",,11/15/2017,Luke 17:11-19,Weekday
,Wisdom 7:22--8:1,"Psalms 119:89-91, 130, 135, 175",,11/16/2017,Luke 17:20-25,Weekday
,"Sirach 26:1-3, 15-18, 24",1 Timothy 5:3-10,,11/17/2017,"Psalms 31:4-5, 8-9, 20, 24-25","St. Elizabeth of Hungary, Patroness of the Third Order (Feast)"
,"Acts 28:11-16, 30-31",Psalms 98:1-6,,11/18/2017,Matthew 14:22-33,Dedication of the Basilica of Saints Peter and Paul (Optional Memorial)
,"Proverbs 31:10-13, 19-20, 30-31",Psalms 128:1-5,1 Thessalonians 5:1-6,11/19/2017,Matthew 25:14-30,Thirty-Third Sunday in Ordinary Time
,"1 Maccabees 1:10-15, 41-43, 54-57, 62-63","Psalms 119:53, 61, 134, 150, 155, 158",,11/20/2017,Luke 18:35-43,Weekday
,2 Maccabees 6:18-31,Psalms 3:2-7,,11/21/2017,Luke 19:1-10,The Presentation of the Blessed Virgin Mary (Memorial)
,"2 Maccabees 7:1, 20-31","Psalms 17:1, 5-6, 8, 15",,11/22/2017,Luke 19:11-28,"St. Cecilia, Virgin, Martyr (Memorial)"
,Sirach 50:22-24,Psalms 138:1-5,1 Corinthians 1:3-9,11/23/2017,Luke 17:11-19,Thanksgiving Day
,"1 Maccabees 4:36-37, 52-59",1 Chronicles 29:10-12,,11/24/2017,Luke 19:45-48,"St. Andrew Dung-Lac, Priest, Martyr and His Companions, Martyrs (Memorial)"
,1 Maccabees 6:1-13,"Psalms 9:2-4, 6, 16, 19",,11/25/2017,Luke 20:27-40,Saturday Memorial of the Blessed Virgin Mary
,"Ezekiel 34:11-12, 15-17","Psalms 23:1-3, 5-6","1 Corinthians 15:20-26, 28",11/26/2017,Matthew 25:31-46,"Our Lord Jesus Christ, King of the Universe (Solemnity)"
,"Daniel 1:1-6, 8-20",Daniel 3:52-56,,11/27/2017,Luke 21:1-4,"St. Francis Anthony Fasani, Priest (Memorial)"
,Daniel 2:31-45,Daniel 3:57-61,,11/28/2017,Luke 21:5-11,"St. James of the March, Priest (Optional Memorial)"
,"Sirach 44:1, 10-15",Psalms 24:1-6,,11/29/2017,Mark 10:17-21,All Saints of the Seraphic Order (Feast)
,Romans 10:9-18,Psalms 19:8-11,,11/30/2017,Matthew 4:18-22,"St. Andrew, Apostle (Feast)"
,Daniel 7:2-14,Daniel 3:75-81,,12/1/2017,Luke 21:29-33,Votive Mass of the Sacred Heart
,Daniel 7:15-27,Daniel 3:82-87,,12/2/2017,Luke 21:34-36,Saturday Memorial of the Blessed Virgin Mary
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
