Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
Matthew 4:4,Genesis 3:9-24,"Psalms 90:2-6, 12-13",,2017-02-11,Mark 8:1-10,Our Lady of Lourdes (Optional Memorial)
Matthew 11:25,Sirach 15:15-20,"Psalms 119:1-2, 4-5, 17-18, 33-34",1 Corinthians 2:6-10,2017-02-12,Matthew 5:17-37,Sixth Sunday in Ordinary Time
John 14:6,"Genesis 4:1-15, 25","Psalms 50:1, 8, 16-17, 20-21",,2017-02-13,Mark 8:11-13,Weekday
John 14:23,"Genesis 6:5-8; 7:1-5, 10","Psalms 29:1-4, 3, 9-10",,2017-02-14,Mark 8:14-21,"Saints Cyril, Monk and Methodius, Bishop (Memorial)"
Ephesians 1:17-18,"Genesis 8:6-13, 20-22","Psalms 116:12-15, 18-19",,2017-02-15,Mark 8:22-26,Weekday
"John 6:63, 68",Genesis 9:1-13,"Psalms 102:16-21, 29, 22-23",,2017-02-16,Mark 8:27-33,Weekday
John 15:15,Genesis 11:1-9,Psalms 33:10-15,,2017-02-17,Mark 8:34--9:1,Weekday
Mark 9:6,Hebrews 11:1-7,"Psalms 145:2-5, 10-11",,2017-02-18,Mark 9:2-13,Saturday Memorial of the Blessed Virgin Mary
1 John 2:5,"Leviticus 19:1-2, 17-18","Psalms 103:1-4, 8, 10, 12-13",1 Corinthians 3:16-23,2017-02-19,Matthew 5:38-48,Seventh Sunday in Ordinary Time
2 Timothy 1:10,Sirach 1:1-10,"Psalms 93:1-2, 5",,2017-02-20,Mark 9:14-29,Weekday
Galatians 6:14,Sirach 2:1-11,"Psalms 37:3-4, 18-19, 27-28, 39-40",,2017-02-21,Mark 9:30-37,Weekday
Matthew 16:18,1 Peter 5:1-4,Psalms 23:1-6,,2017-02-22,Matthew 16:13-19,"The Chair of St. Peter, Apostle (Feast)"
1 Thessalonians 2:13,Sirach 5:1-8,"Psalms 1:1-4, 6",,2017-02-23,Mark 9:41-50,"St. Polycarp, Bishop, Martyr (Memorial)"
"John 17:17, 17",Sirach 6:5-17,"Psalms 119:12, 16, 18, 27, 34-35",,2017-02-24,Mark 10:1-12,Weekday
Matthew 11:25,Sirach 17:1-15,Psalms 103:13-18,,2017-02-25,Mark 10:13-16,Saturday Memorial of the Blessed Virgin Mary
Hebrews 4:12,Isaiah 49:14-15,"Psalms 62:2-3, 6-9",1 Corinthians 4:1-5,2017-02-26,Matthew 6:24-34,Eighth Sunday in Ordinary Time
2 Corinthians 8:9,Sirach 17:20-24,"Psalms 32:1-2, 5-7",,2017-02-27,Mark 10:17-27,Weekday
Matthew 11:25,Sirach 35:1-12,"Psalms 50:5-8, 14, 23",,2017-02-28,Mark 10:28-31,Weekday
Psalms 95:8,Joel 2:12-18,"Psalms 51:3-6, 12-14, 17",2 Corinthians 5:20--6:2,2017-03-01,"Matthew 6:1-6, 16-18",Ash Wednesday
Matthew 4:17,Deuteronomy 30:15-20,"Psalms 1:1-4, 6",,2017-03-02,Luke 9:22-25,Thursday after Ash Wednesday
Amos 5:14,Isaiah 58:1-9,"Psalms 51:3-6, 18-19",,2017-03-03,Matthew 9:14-15,"St. Katharine Drexel, Virgin (Optional Memorial)"
Ezekiel 33:11,Isaiah 58:9-14,Psalms 86:1-6,,2017-03-04,Luke 5:27-32,Saturday after Ash Wednesday
Matthew 4:4,Genesis 2:7-9; 3:1-7,"Psalms 51:3-6, 12-13, 17",Romans 5:12-19,2017-03-05,"Romans 5:12, 17-19",First Sunday of Lent
2 Corinthians 6:2,"Leviticus 19:1-2, 11-18","Psalms 19:8-10, 15",,2017-03-06,Matthew 25:31-46,Lenten Weekday
Matthew 4:4,Isaiah 55:10-11,"Psalms 34:4-7, 16-19",,2017-03-07,Matthew 6:7-15,"Sts. Perpetua and Felicity, Martyrs (Memorial)"
Joel 2:12-13,Jonah 3:1-10,"Psalms 51:3-4, 12-13, 18-19",,2017-03-08,Luke 11:29-32,Lenten Weekday
"Psalms 51:12, 14","Esther C:12, 14-16, 23-25","Psalms 138:1-3, 7-8",,2017-03-09,Matthew 7:7-12,Lenten Weekday
Ezekiel 18:31,Ezekiel 18:21-28,Psalms 130:1-8,,2017-03-10,Matthew 5:20-26,Lenten Weekday
2 Corinthians 6:2,Deuteronomy 26:16-19,"Psalms 119:1-2, 4-5, 7-8",,2017-03-11,Matthew 5:43-48,Lenten Weekday
Matthew 17:5,Genesis 12:1-4,"Psalms 33:4-5, 18-20, 22",2 Timothy 1:8-10,2017-03-12,Matthew 17:1-9,Second Sunday of Lent
"John 6:63, 68",Daniel 9:4-10,"Psalms 79:8-9, 11, 13",,2017-03-13,Luke 6:36-38,Lenten Weekday
Ezekiel 18:31,"Isaiah 1:10, 16-20","Psalms 50:8-9, 16-17, 21, 23",,2017-03-14,Matthew 23:1-12,Lenten Weekday
John 8:12,Jeremiah 18:18-20,"Psalms 31:5-6, 14-16",,2017-03-15,Matthew 20:17-28,Lenten Weekday
Luke 8:15,Jeremiah 17:5-10,"Psalms 1:1-4, 6",,2017-03-16,Luke 16:19-31,Lenten Weekday
John 3:16,"Genesis 37:3-4, 12-13, 17-28",Psalms 105:16-21,,2017-03-17,"Matthew 21:33-43, 45-46","St. Patrick, Bishop (Memorial)"
Luke 15:18,"Micah 7:14-15, 18-20","Psalms 103:1-4, 9-12",,2017-03-18,"Luke 15:1-3, 11-32",Lenten Weekday
"John 4:42, 15",Exodus 17:3-7,"Psalms 95:1-2, 6-9","Romans 5:1-2, 5-8",2017-03-19,John 4:5-42,Third Sunday of Lent
Psalms 84:5,"2 Samuel 7:4-5, 12-14, 16","Psalms 89:2-5, 27, 29","Romans 4:13, 16-18, 22",2017-03-20,"Matthew 1:16, 18-21, 24","St. Joseph, Spouse of the Blessed Virgin Mary (Solemnity)"
Joel 2:12-13,"Daniel 3:25, 34-43",Psalms 25:4-9,,2017-03-21,Matthew 18:21-35,Lenten Weekday
"John 6:63, 68","Deuteronomy 4:1, 5-9","Psalms 147:12-13, 15-16, 19-20",,2017-03-22,Matthew 5:17-19,Lenten Weekday
Joel 2:12-13,Jeremiah 7:23-28,"Psalms 95:1-2, 6-9",,2017-03-23,Luke 11:14-23,Lenten Weekday
