Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
Hebrews 4:12,Jeremiah 20:10-13,"Psalms 69:8-10, 14, 17, 33-35",Romans 5:12-15,2017-06-25,Matthew 10:26-33,Twelfth Sunday in Ordinary Time
John 8:12,Genesis 12:1-9,"Psalms 33:12-13, 18-20, 22",,2017-06-26,Matthew 7:1-5,"St. Josemaria Escriva de Balaguer, Priest (Optional Memorial)"
"John 15:4, 5","Genesis 13:2, 5-18",Psalms 15:2-5,,2017-06-27,"Matthew 7:6, 12-14",Weekday
Matthew 16:18,"Genesis 15:1-12, 17-18","Psalms 105:1-4, 6-9",,2017-06-28,Matthew 7:15-20,"St. Irenaeus, Bishop, Martyr (Memorial)"
Matthew 8:17,Acts 12:1-11,Psalms 34:2-9,"2 Timothy 4:6-8, 17-18",2017-06-29,Matthew 16:13-19,"Saints Peter and Paul, Apostles (Solemnity)"
Matthew 8:17,"Genesis 17:1, 9-10, 15-22",Psalms 128:1-5,,2017-06-30,Matthew 8:1-4,The First Martyrs of Holy Roman Church (Optional Memorial)
1 Peter 2:19,Genesis 18:1-15,"Luke 1:46-50, 53-55",,2017-07-01,Matthew 8:5-17,"St. Junipero Serra, OFM, Priest (Optional Memorial)"
John 20:29,"2 Kings 4:8-11, 14-16","Psalms 89:2-3, 16-19","Romans 6:3-4, 8-11",2017-07-02,Matthew 10:37-42,Thirteenth Sunday in Ordinary Time
Psalms 130:5,Ephesians 2:19-22,Psalms 117:1-2,,2017-07-03,John 20:24-29,"St. Thomas, Apostle (Feast)"
James 1:18,Isaiah 58:6-11,Psalms 107:2-9,,2017-07-04,Matthew 25:31-46,Independence Day
2 Corinthians 5:19,"Genesis 21:5, 8-20",Psalms 34:7-13,,2017-07-05,Matthew 8:28-34,Weekday
Matthew 11:28,Genesis 22:1-19,"Psalms 115:1-6, 8-9",,2017-07-06,Matthew 9:1-8,"St. Maria Goretti, Virgin, Martyr (Optional Memorial)"
John 10:27,"Genesis 23:1-4, 19; 24:1-8, 62-67",Psalms 106:1-5,,2017-07-07,Matthew 9:9-13,Votive Mass of the Sacred Heart
Matthew 11:25,"Genesis 27:1-5, 15-29",Psalms 135:1-6,,2017-07-08,Matthew 9:14-17,"St. Gregory Grassi, Bishop and Companions, Martyrs (Optional Memorial)"
2 Timothy 1:10,Zechariah 9:9-10,"Psalms 145:1-2, 8-11, 13-14","Romans 8:9, 11-13",2017-07-09,Matthew 11:25-30,Fourteenth Sunday in Ordinary Time
John 10:14,"2 Corinthians 4:6-11, 16, 17","Psalms 59:2, 10, 17-18",,2017-07-10,Matthew 16:24-27,"St. Veronica Giuliani, Virgin (Feast)"
Mark 1:15,Genesis 32:23-33,"Psalms 17:1-3, 6-7, 8, 15",,2017-07-11,Matthew 9:32-38,"St. Benedict, Abbot (Memorial)"
Mark 1:15,"Genesis 41:55-57; 42:5-7, 17-24","Psalms 33:2-3, 10-11, 18-19",,2017-07-12,Matthew 10:1-7,Weekday
"John 16:13, 14:26","Genesis 44:18-21, 23-29; 45:1-5",Psalms 105:16-21,,2017-07-13,Matthew 10:7-15,Weekday
1 Peter 4:14,"Genesis 46:1-7, 28-30","Psalms 37:3-4, 18-19, 27-28, 39-40",,2017-07-14,Matthew 10:16-23,"St. Kateri Tekakwitha, Virgin (Memorial)"
,"Wisdom 8:2-7, 16-18",1 Corinthians 2:6-13,,2017-07-15,"Psalms 16:5-9, 11","St. Bonaventure, Bishop, Doctor of the Church (Feast)"
Matthew 5:10,Isaiah 55:10-11,Psalms 65:10-14,Romans 8:18-23,2017-07-16,Matthew 13:1-23,Fifteenth Sunday in Ordinary Time
Psalms 95:8,"Exodus 1:8-14, 22",Psalms 124:1-8,,2017-07-17,Matthew 10:34--11:1,Weekday
Matthew 11:25,Exodus 2:1-15,"Psalms 69:3, 14, 30-31, 33-34",,2017-07-18,Matthew 11:20-24,Weekday
Matthew 11:28,"Exodus 3:1-6, 9-12","Psalms 103:1-4, 6-7",,2017-07-19,Matthew 11:25-27,Weekday
John 10:27,Exodus 3:13-20,"Psalms 105:1, 5, 8-9, 24-27",,2017-07-20,Matthew 11:28-30,Weekday
,Wisdom 8:9-16,2 Corinthians 5:14-21,,2017-07-21,"Psalms 67:2-5, 7-8","St. Lawrence of Brindisi, Priest, Doctor of the Church (Feast)"
Matthew 11:25,Exodus 12:37-42,"Psalms 136:1, 23-24, 10-15",,2017-07-22,"John 20:1-2, 11-18",St. Mary Magdalene (Feast)
Psalms 95:8,"Wisdom 12:13, 16-19","Psalms 86:5-6, 9-10, 15-16",Romans 8:26-27,2017-07-23,Matthew 13:24-43,Sixteenth Sunday in Ordinary Time
John 15:16,Exodus 14:5-18,Exodus 15:1-6,,2017-07-24,Matthew 12:38-42,"St. Sharbel Makhluf, Priest (Optional Memorial)"
,2 Corinthians 4:7-15,Psalms 126:1-6,,2017-07-25,Matthew 20:20-28,"St. James, Apostle (Feast)"
Matthew 11:25,"Sirach 44:1, 10-15","Psalms 132:11, 13-14, 17-18",,2017-07-26,Matthew 13:16-17,"Saints Joachim and Anne, Parents of the Blessed Virgin Mary (Memorial)"
Luke 8:15,"Exodus 19:1-2, 9-11, 16-20",Daniel 3:52-56,,2017-07-27,Matthew 13:10-17,Weekday
John 8:12,Exodus 20:1-17,Psalms 19:8-11,,2017-07-28,Matthew 13:18-23,Votive Mass of the Precious Blood
Matthew 11:25,Exodus 24:3-8,"Psalms 50:1-2, 5-6, 14-15",,2017-07-29,John 11:19-27,St. Martha (Memorial)
James 1:18,"1 Kings 3:5, 7-12","Psalms 119:57, 72, 76-77, 127-130",Romans 8:28-30,2017-07-30,Matthew 13:44-52,Seventeenth Sunday in Ordinary Time
,"Exodus 32:15-24, 30-34",Psalms 106:19-23,,2017-07-31,Matthew 13:31-35,"St. Ignatius of Loyola, Priest (Memorial)"
John 15:15,"Exodus 33:7-11; 34:5-9, 28",Psalms 103:6-13,,2017-08-01,Matthew 13:36-43,"St. Alphonsus Liguori, Bishop, Doctor of the Church (Memorial)"
Acts 16:14,"Sirach 24:1-4, 16, 22-24","Psalms 34:5, 7, 9-10, 18-19",Galatians 4:3-7,2017-08-02,Luke 1:26-33,Our Lady of the Angels of Portiuncula (Solemnity)
1 Peter 1:25,"Exodus 40:16-21, 34-38","Psalms 84:3-6, 8, 11",,2017-08-03,Matthew 13:47-53,Weekday
Matthew 5:10,"Leviticus 23:1, 4-11, 15-16, 27, 34-37","Psalms 81:3-6, 10-11",,2017-08-04,Matthew 13:54-58,"St. John Mary Vianney, Priest (Memorial)"
Matthew 17:5,"Leviticus 25:1, 8-17","Psalms 67:2-3, 5, 7-8",,2017-08-05,Matthew 14:1-12,Dedication of the Basilica of Saint Mary Major in Rome (Optional Memorial)
Matthew 4:4,"Daniel 7:9-10, 13-14","Psalms 97:1-2, 5-6, 9",2 Peter 1:16-19,2017-08-06,Matthew 17:1-9,The Transfiguration of the Lord (Feast)
John 1:49,Numbers 11:4-15,Psalms 81:12-17,,2017-08-07,Matthew 14:13-21,Weekday
Luke 7:16,2 Timothy 4:1-5,"Psalms 37:3-6, 30-31",,2017-08-08,Matthew 5:13-16,"Holy Father Dominic, Priest, Founder of the Order of Preachers (Feast)"
John 8:12,"Numbers 13:1-2, 25--14:1, 26-29, 34-35","Psalms 106:6-7, 13-14, 21-23",,2017-08-09,Matthew 15:21-28,"St. Teresa Benedicta of the Cross (Edith Stein), Virgin and Martyr (Optional Memorial)"
Matthew 5:10,2 Corinthians 9:6-10,"Psalms 112:1-2, 5-9",,2017-08-10,John 12:24-26,"St. Lawrence, Deacon, Martyr (Feast)"
2 Timothy 1:10,"Hosea 2:16, 17, 21-22","2 Corinthians 4:6-10, 16-18",,2017-08-11,"Psalms 45:11-12, 14-16","St. Clare of Assisi, Virgin, Foundress of II Order (Feast)"
Psalms 130:5,Deuteronomy 6:4-13,"Psalms 18:2-4, 47, 51",,2017-08-12,Matthew 17:14-20,Saturday Memorial of the Blessed Virgin Mary
2 Thessalonians 2:14,"1 Kings 19:9, 11-13",Psalms 85:9-14,Romans 9:1-5,2017-08-13,Matthew 14:22-33,Nineteenth Sunday in Ordinary Time
,1 John 3:13-18,"Psalms 116:10-13, 16-17",,2017-08-14,John 15:12-17,"St. Maximilian Mary Kolbe, Priest, Martyr (Memorial)"
2 Corinthians 5:19,"Revelation 11:19; 12:1-6, 10","Psalms 45:10-12, 16",1 Corinthians 15:20-27,2017-08-15,Luke 1:39-56,The Assumption of the Blessed Virgin Mary (Solemnity)
Psalms 119:135,Deuteronomy 34:1-12,"Psalms 66:1-3, 5, 8, 16-17",,2017-08-16,Matthew 18:15-20,Weekday
1 Thessalonians 2:13,"Joshua 3:7-11, 13-17",Psalms 114:1-6,,2017-08-17,Matthew 18:21--19:1,Weekday
Matthew 11:25,Joshua 24:1-13,"Psalms 136:1-3, 16-18, 21-22, 24",,2017-08-18,Matthew 19:3-12,Weekday
Matthew 4:23,Joshua 24:14-29,"Psalms 16:1-2, 5, 7-8, 11",,2017-08-19,Matthew 19:13-15,"St. Louis, Bishop (Optional Memorial)"
Matthew 5:3,"Isaiah 56:1, 6-7","Psalms 67:2-3, 5-6, 8","Romans 11:13-15, 29-32",2017-08-20,Matthew 15:21-28,Twentieth Sunday in Ordinary Time
2 Corinthians 8:9,Judges 2:11-19,"Psalms 106:34-37, 39-40, 43-44",,2017-08-21,Matthew 19:16-22,"St. Pius X, Pope (Memorial)"
Hebrews 4:12,Isaiah 9:1-6,Psalms 113:1-8,,2017-08-22,Luke 1:26-38,The Queenship of the Blessed Virgin Mary (Memorial)
John 1:49,Judges 9:6-15,Psalms 21:2-7,,2017-08-23,Matthew 20:1-16,"St. Rose of Lima, Virgin (Optional Memorial)"
"Psalms 25:4, 5",Revelation 21:9-14,"Psalms 145:10-13, 17-18",,2017-08-24,John 1:45-51,"St. Bartholomew, Apostle (Feast)"
"Matthew 23:9, 10","Ruth 1:1, 3-6, 14-16, 22",Psalms 146:5-10,,2017-08-25,Matthew 22:34-40,"St. Louis IX of France, King, Patron of the Third Order (Memorial)"
Matthew 16:18,"Ruth 2:1-3, 8-11; 4:13-17",Psalms 128:1-5,,2017-08-26,Matthew 23:1-12,Saturday Memorial of the Blessed Virgin Mary
John 10:27,Isaiah 22:19-23,"Psalms 138:1-3, 6, 8",Romans 11:33-36,2017-08-27,Matthew 16:13-20,Twenty-First Sunday in Ordinary Time
Matthew 5:10,"1 Thessalonians 1:1-5, 8-10","Psalms 149:1-6, 9",,2017-08-28,Matthew 23:13-22,"St. Augustine, Bishop, Doctor of the Church (Memorial)"
1 John 2:5,Jeremiah 1:17-19,"Psalms 71:1-6, 15, 17",,2017-08-29,Mark 6:17-29,The Passion of St. John the Baptist (Memorial)
"Matthew 24:42, 44",1 Thessalonians 2:9-13,Psalms 139:7-12,,2017-08-30,Matthew 23:27-32,Weekday
Luke 21:36,1 Thessalonians 3:7-13,"Psalms 90:3-5, 12-14, 17",,2017-08-31,Matthew 24:42-51,Weekday
John 13:34,1 Thessalonians 4:1-8,"Psalms 97:1-2, 5-6, 10-12",,2017-09-01,Matthew 25:1-13,Votive Mass of the Sacred Heart
Matthew 11:29,1 Thessalonians 4:9-11,"Psalms 98:1, 7-9",,2017-09-02,Matthew 25:14-30,Saturday Memorial of the Blessed Virgin Mary
Luke 4:18,Jeremiah 20:7-9,"Psalms 63:2-6, 8-9",Romans 12:1-2,2017-09-03,Matthew 16:21-27,Twenty-Second Sunday in Ordinary Time
Luke 7:16,"Genesis 2:4-9, 15","Psalms 90:2-5, 12-14, 16",,2017-09-04,Matthew 6:31-34,Labor Day
Luke 4:18,"1 Thessalonians 5:1-6, 9-11","Psalms 27:1, 4, 13-14",,2017-09-05,Luke 4:31-37,St. Teresa of Calcutta (Optional Memorial)
Matthew 4:19,Colossians 1:1-8,Psalms 52:10-11,,2017-09-06,Luke 4:38-44,Weekday
,Colossians 1:9-14,Psalms 98:2-6,,2017-09-07,Luke 5:1-11,Weekday
John 14:6,Micah 5:1-4,Romans 8:28-30,,2017-09-08,Psalms 13:6,The Nativity of the Blessed Virgin Mary (Feast)
2 Corinthians 5:19,Colossians 1:21-23,"Psalms 54:3-4, 6, 8",,2017-09-09,Luke 6:1-5,"St. Peter Claver, Priest (Memorial)"
John 10:27,Ezekiel 33:7-9,"Psalms 95:1-2, 6-9",Romans 13:8-10,2017-09-10,Matthew 18:15-20,Twenty-Third Sunday in Ordinary Time
John 15:16,Colossians 1:24--2:3,"Psalms 62:6-7, 9",,2017-09-11,Luke 6:6-11,Commemoration of 9/11
Luke 6:23,Galatians 4:4-7,"Ephesians 1:3-6, 11-12",,2017-09-12,Luke 1:46-55,The Most Holy Name of Mary (Optional Memorial)
,Colossians 3:1-11,"Psalms 145:2-3, 10-13",,2017-09-13,Luke 6:20-26,"St. John Chrysostom, Bishop, Doctor of the Church (Memorial)"
,Numbers 21:4-9,"Psalms 78:1-2, 34-38",Philippians 2:6-11,2017-09-14,John 3:13-17,Exaltation of the Holy Cross (Feast)
John 14:23,Hebrews 5:7-9,"Psalms 31:2-6, 15-16, 20",,2017-09-15,John 19:25-27,Our Lady of Sorrows (Memorial)
John 13:34,1 Timothy 1:15-17,Psalms 113:1-7,,2017-09-16,Luke 6:43-49,"St. Cornelius, Pope, Martyr and St. Cyprian, Bishop, Martyr (Memorial)"
John 3:16,Sirach 27:30--28:9,"Psalms 103:1-4, 9-12",Romans 14:7-9,2017-09-17,Matthew 18:21-35,Twenty-Fourth Sunday in Ordinary Time
Luke 7:16,"1 Corinthians 12:31; 13:1-10, 13","Psalms 25:1-5, 8-10",,2017-09-18,Matthew 11:25-30,"St. Joseph of Cupertino, Priest (Memorial)"
"John 6:63, 68",1 Timothy 3:1-13,"Psalms 101:1-3, 5-6",,2017-09-19,Luke 7:11-17,St. Francis Mary of Camporosso (Memorial)
,1 Timothy 3:14-16,Psalms 111:1-6,,2017-09-20,Luke 7:31-35,"Sts. Andrew Kim Taegon, Priest, Martyr, Paul Chong Hasang, Martyr and Their Companions, Martyrs (Memorial)"
Matthew 11:25,"Ephesians 4:1-7, 11-13",Psalms 19:2-5,,2017-09-21,Matthew 9:9-13,"St. Matthew, Apostle, Evangelist (Feast)"
Luke 8:15,1 Timothy 6:2-12,"Psalms 49:6-10, 17-20",,2017-09-22,Luke 8:1-3,Weekday
Acts 16:14,Galatians 2:19-20,"Psalms 16:1-2, 5-8, 11",,2017-09-23,Matthew 16:24-27,"St. Pio of Pietrelcina, Priest (Memorial)"
Matthew 5:16,Isaiah 55:6-9,"Psalms 145:2-3, 8-9, 17-18","Philippians 1:20-24, 27",2017-09-24,Matthew 20:1-16,Twenty-Fifth Sunday in Ordinary Time
Luke 11:28,Ezra 1:1-6,Psalms 126:1-6,,2017-09-25,Luke 8:16-18,Weekday
Mark 1:15,"Ezra 6:7-8, 12, 14-20",Psalms 122:1-5,,2017-09-26,Luke 8:19-21,Weekday
John 14:6,Ezra 9:5-9,"Tobit 13:2-4, 7-8",,2017-09-27,Luke 9:1-6,"St. Vincent de Paul, Priest (Memorial)"
Psalms 103:21,Haggai 1:1-8,"Psalms 149:1-6, 9",,2017-09-28,Luke 9:7-9,Weekday
2 Timothy 1:10,"Daniel 7:9-10, 13-14",Revelation 12:7-12,,2017-09-29,Psalms 138:1-5,"Sts. Michael, Gabriel, and Raphael, Archangels (Feast)"
,"Zechariah 2:5-9, 14-15",Jeremiah 31:10-13,,2017-09-30,Luke 9:43-45,"St. Jerome, Priest, Doctor of the Church (Memorial)"
Psalms 103:21,Ezekiel 18:25-28,Psalms 25:4-9,Philippians 2:1-11,2017-10-01,Philippians 2:1-5,Twenty-Sixth Sunday in Ordinary Time
Mark 10:45,Exodus 23:20-23,"Psalms 91:1-6, 10-11",,2017-10-02,"Matthew 18:1-5, 10",Guardian Angels (Memorial)
Philippians 3:8-9,Zechariah 8:20-23,Psalms 87:1-7,,2017-10-03,Luke 9:51-56,Weekday
Mark 1:15,"Sirach 50:1, 3-4, 6-7","Psalms 16:1-2, 5, 7-8, 11",Galatians 6:14-18,2017-10-04,Matthew 11:25-30,"St. Francis of Assisi, Deacon, Religious, Founder of the Three Orders (Solemnity)"
Psalms 95:8,Nehemiah 8:1-12,Psalms 19:8-11,,2017-10-05,Luke 10:1-12,"St. Faustina, Virgin (Optional Memorial)"
Matthew 11:25,Baruch 1:15-22,"Psalms 79:1-5, 8-9",,2017-10-06,Luke 10:13-16,Votive Mass of the Sacred Heart
John 15:16,Acts 1:12-14,Luke 1:46-55,,2017-10-07,Luke 1:26-38,Our Lady of the Rosary (Memorial)
John 13:34,Isaiah 5:1-7,"Psalms 80:9, 12-16, 19-20",Philippians 4:6-9,2017-10-08,Matthew 21:33-43,Twenty-Seventh Sunday in Ordinary Time
Luke 11:28,"Jonah 1:1--2:2, 11","Jonah 2:3-5, 8",,2017-10-09,Luke 10:25-37,Weekday
Romans 8:15,Jonah 3:1-10,"Psalms 130:1-4, 7-8",,2017-10-10,Luke 10:38-42,Weekday
Acts 16:14,Jonah 4:1-11,"Psalms 86:3-6, 9-10",,2017-10-11,Luke 11:1-4,Weekday
John 12:31-32,Malachi 3:13-20,"Psalms 1:1-4, 6",,2017-10-12,Luke 11:5-13,"St. Seraphin of Montegranaro, Religious (Memorial)"
Luke 11:28,Joel 1:13-15; 2:1-2,"Psalms 9:2-3, 6, 16, 8-9",,2017-10-13,Luke 11:15-26,Weekday
Ephesians 1:17-18,Joel 4:12-21,"Psalms 97:1-2, 5-6, 11-12",,2017-10-14,Luke 11:27-28,Saturday Memorial of the Blessed Virgin Mary
Psalms 95:8,Isaiah 25:6-10,Psalms 23:1-6,"Philippians 4:12-14, 19-20",2017-10-15,Matthew 22:1-14,Twenty-Eighth Sunday in Ordinary Time
Hebrews 4:12,Romans 1:1-7,Psalms 98:1-4,,2017-10-16,Luke 11:29-32,"St. Margaret Mary Alacoque, Virgin (Optional Memorial)"
John 15:16,Romans 1:16-25,Psalms 19:2-5,,2017-10-17,Luke 11:37-41,"St. Ignatius of Antioch, Bishop, Martyr (Memorial)"
John 14:6,2 Timothy 4:10-17,"Psalms 145:10-13, 17-18",,2017-10-18,Luke 10:1-9,"St. Luke, Evangelist (Feast)"
Psalms 33:22,Romans 3:21-30,Psalms 130:1-6,,2017-10-19,Luke 11:47-54,"Saints John de Brébeuf and Isaac Jogues, Priests, Martyrs and Companions (Memorial)"
,Romans 4:1-8,"Psalms 32:1-2, 5, 11",,2017-10-20,Luke 12:1-7,Weekday
"Philippians 2:15, 16","Romans 4:13, 16-18","Psalms 105:6-9, 42-43",,2017-10-21,Luke 12:8-12,Saturday Memorial of the Blessed Virgin Mary
Matthew 5:3,"Isaiah 45:1, 4-6","Psalms 96:1, 3-5, 7-10",1 Thessalonians 1:1-5,2017-10-22,Matthew 22:15-21,Twenty-Ninth Sunday in Ordinary Time
Luke 21:36,Romans 4:20-25,Luke 1:69-75,,2017-10-23,Luke 12:13-21,"St. John of Capistrano, OFM, Priest (Memorial)"
"Matthew 24:42, 44","Romans 5:12, 15, 17-19, 20-21","Psalms 40:7-10, 17",,2017-10-24,Luke 12:35-38,Weekday
Philippians 3:8-9,Romans 6:12-18,Psalms 124:1-8,,2017-10-25,Luke 12:39-48,Weekday
Matthew 11:25,Romans 6:19-23,"Psalms 1:1-4, 6",,2017-10-26,Luke 12:49-53,Weekday
,Romans 7:18-25,"Psalms 119:66, 68, 76-77, 93-94",,2017-10-27,Luke 12:54-59,Weekday
John 14:23,Ephesians 2:19-22,Psalms 19:2-5,,2017-10-28,Luke 6:12-16,"Saints Simon and Jude, Apostles (Feast)"
"John 17:17, 17",Exodus 22:20-26,"Psalms 18:2-4, 47, 51",1 Thessalonians 1:5-10,2017-10-29,Matthew 22:34-40,Thirtieth Sunday in Ordinary Time
Matthew 11:25,Romans 8:12-17,"Psalms 68:2, 4, 6-7, 20-21",,2017-10-30,Luke 13:10-17,Weekday
Matthew 11:28,Romans 8:18-25,Psalms 126:1-6,,2017-10-31,Luke 13:18-21,Weekday
Matthew 25:34,"Revelation 7:2-4, 9-14",Psalms 24:1-6,1 John 3:1-3,2017-11-01,Matthew 5:1-12,All Saints (Solemnity)
John 10:27,Wisdom 3:1-9,"Psalms 27:1, 4, 7-9, 13-14",Romans 5:5-11,2017-11-02,John 11:17-27,The Commemoration of All the Faithful Departed (All Souls)
Matthew 11:29,Romans 9:1-5,"Psalms 147:12-15, 19-20",,2017-11-03,Luke 14:1-6,"St. Martin de Porres, Religious (Optional Memorial)"
"Matthew 23:9, 10","Romans 11:1-2, 11-12, 25-29","Psalms 94:12-13, 14-15, 17-18",,2017-11-04,"Luke 14:1, 7-11","St. Charles Borromeo, Bishop (Memorial)"
John 8:31-32,"Malachi 1:14--2:2, 8-10",Psalms 131:1-3,"1 Thessalonians 2:7-9, 13",2017-11-05,Matthew 23:1-12,Thirty-First Sunday in Ordinary Time
Matthew 11:28,Wisdom 3:1-9,Psalms 23:1-6,,2017-11-06,John 6:37-40,Commemoration of All the Deceased of the Seraphic Order (Memorial)
1 Peter 4:14,Romans 12:5-16,Psalms 131:1-3,,2017-11-07,Luke 14:15-24,Weekday
2 Chronicles 7:16,Romans 13:8-10,"Psalms 112:1-2, 4-5, 9",,2017-11-08,Luke 14:25-33,"Blessed John Duns Scotus, Priest (Optional Memorial)"
1 John 2:5,"Ezekiel 47:1-2, 8-9, 12","Psalms 46:2-3, 5-6, 8-9","1 Corinthians 3:9-11, 16-17",2017-11-09,John 2:13-22,The Dedication of the Lateran Basilica (Feast)
2 Corinthians 8:9,Romans 15:14-21,Psalms 98:1-4,,2017-11-10,Luke 16:1-8,"St. Leo the Great, Pope, Doctor of the Church (Memorial)"
"Matthew 24:42, 44","Romans 16:3-9, 16, 22-27","Psalms 145:2-5, 10-11",,2017-11-11,Luke 16:9-15,"St. Martin of Tours, Bishop (Memorial)"
"Philippians 2:15, 16",Wisdom 6:12-16,Psalms 63:2-8,1 Thessalonians 4:13-18,2017-11-12,1 Thessalonians 4:13-14,Thirty-Second Sunday in Ordinary Time
John 14:23,Wisdom 1:1-7,Psalms 139:1-10,,2017-11-13,Luke 17:1-6,"St. Frances Xavier Cabrini, Virgin (Memorial)"
1 Thessalonians 5:18,Wisdom 2:23--3:9,"Psalms 34:2-3, 16-19",,2017-11-14,Luke 17:7-10,"St. Nicholas Tavelic, OFM, Priest, and Companions, Martyrs (Memorial)"
John 15:5,Wisdom 6:1-11,"Psalms 82:3-4, 6-7",,2017-11-15,Luke 17:11-19,Weekday
Luke 21:28,Wisdom 7:22--8:1,"Psalms 119:89-91, 130, 135, 175",,2017-11-16,Luke 17:20-25,Weekday
2 Thessalonians 2:14,"Sirach 26:1-3, 15-18, 24",1 Timothy 5:3-10,,2017-11-17,"Psalms 31:4-5, 8-9, 20, 24-25","St. Elizabeth of Hungary, Patroness of the Third Order (Feast)"
"John 15:4, 5","Acts 28:11-16, 30-31",Psalms 98:1-6,,2017-11-18,Matthew 14:22-33,Dedication of the Basilica of Saints Peter and Paul (Optional Memorial)
John 8:12,"Proverbs 31:10-13, 19-20, 30-31",Psalms 128:1-5,1 Thessalonians 5:1-6,2017-11-19,Matthew 25:14-30,Thirty-Third Sunday in Ordinary Time
1 John 4:10,"1 Maccabees 1:10-15, 41-43, 54-57, 62-63","Psalms 119:53, 61, 134, 150, 155, 158",,2017-11-20,Luke 18:35-43,Weekday
John 15:16,2 Maccabees 6:18-31,Psalms 3:2-7,,2017-11-21,Luke 19:1-10,The Presentation of the Blessed Virgin Mary (Memorial)
Psalms 95:8,"2 Maccabees 7:1, 20-31","Psalms 17:1, 5-6, 8, 15",,2017-11-22,Luke 19:11-28,"St. Cecilia, Virgin, Martyr (Memorial)"
John 10:27,Sirach 50:22-24,Psalms 138:1-5,1 Corinthians 1:3-9,2017-11-23,Luke 17:11-19,Thanksgiving Day
2 Timothy 1:10,"1 Maccabees 4:36-37, 52-59",1 Chronicles 29:10-12,,2017-11-24,Luke 19:45-48,"St. Andrew Dung-Lac, Priest, Martyr and His Companions, Martyrs (Memorial)"
"Mark 11:9, 10",1 Maccabees 6:1-13,"Psalms 9:2-4, 6, 16, 19",,2017-11-25,Luke 20:27-40,Saturday Memorial of the Blessed Virgin Mary
"Matthew 24:42, 44","Ezekiel 34:11-12, 15-17","Psalms 23:1-3, 5-6","1 Corinthians 15:20-26, 28",2017-11-26,Matthew 25:31-46,"Our Lord Jesus Christ, King of the Universe (Solemnity)"
Revelation 2:10,"Daniel 1:1-6, 8-20",Daniel 3:52-56,,2017-11-27,Luke 21:1-4,"St. Francis Anthony Fasani, Priest (Memorial)"
Revelation 2:10,Daniel 2:31-45,Daniel 3:57-61,,2017-11-28,Luke 21:5-11,"St. James of the March, Priest (Optional Memorial)"
Matthew 4:19,"Sirach 44:1, 10-15",Psalms 24:1-6,,2017-11-29,Mark 10:17-21,All Saints of the Seraphic Order (Feast)
Luke 21:28,Romans 10:9-18,Psalms 19:8-11,,2017-11-30,Matthew 4:18-22,"St. Andrew, Apostle (Feast)"
Luke 21:36,Daniel 7:2-14,Daniel 3:75-81,,2017-12-01,Luke 21:29-33,Votive Mass of the Sacred Heart
Psalms 85:8,Daniel 7:15-27,Daniel 3:82-87,,2017-12-02,Luke 21:34-36,Saturday Memorial of the Blessed Virgin Mary
Psalms 80:4,,,,,,
,,,,,,
,,,,,,
Isaiah 55:6,,,,,,
Luke 1:28,,,,,,
Isaiah 33:22,,,,,,
"Luke 3:4, 6",,,,,,
,,,,,,
,,,,,,
,,,,,,
Isaiah 45:8,,,,,,
,,,,,,
"Luke 3:4, 6",,,,,,
Isaiah 61:1,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Luke 1:38,,,,,,
,,,,,,
Luke 2:10-11,,,,,,
"Psalms 118:26, 27",,,,,,
,,,,,,
,,,,,,
Luke 2:32,,,,,,
,,,,,,
"Colossians 3:15, 16",,,,,,
