Acclamation,SecondReading,Psalm,FirstReading,Date,Gospel,Day
2 Tm 1:10,,"Ps 9:2-3, 4, 6, 16, 19",1 Mc 6:1-13,25-Nov-17,Lk 20:27-40,Saturday of the Thirty-third Week in Ordinary Time
"Mk 11:9, 10","1 Cor 15:20-26, 28","Ps 23:1-2, 2-3, 5-6","Ez 34:11-12, 15-17",26-Nov-17,Mt 25:31-46,"The Solemnity of Our Lord Jesus Christ, King of the Universe"
"Mt 24:42a, 44",,"Dn 3:52, 53, 54, 55, 56","Dn 1:1-6, 8-20",27-Nov-17,Lk 21:1-4,Monday of the Thirty-fourth Week in Ordinary Time
Rev 2:10c,,"Dn 3:57, 58, 59, 60, 61",Dn 2:31-45,28-Nov-17,Lk 21:5-11,Tuesday of the Thirty-fourth Week in Ordinary Time
Rev 2:10c,,"Dn 3:62, 63, 64, 65, 66, 67","Dn 5:1-6, 13-14, 16-17, 23-28",29-Nov-17,Lk 21:12-19,Wednesday of the Thirty-fourth Week in Ordinary Time
Mt 4:19,,"Ps 19:8, 9, 10, 11",1 Rom 10:9-18,30-Nov-17,Mt 4:18-22,"Feast of Saint,rew, Apostle"
Lk 21:28,,"Dn 3:75, 76, 77, 78, 79, 80, 81",Dn 7:2-14,1-Dec-17,Lk 21:29-33,Friday of the Thirty-fourth Week in Ordinary Time
Lk 21:36,,"Dn 3:82, 83, 84, 85, 86, 87",Dn 7:15-27,2-Dec-17,Lk 21:34-36,Saturday of the Thirty-fourth Week in Ordinary Time
Ps 85:8,1 Cor 1:3-9,"Ps 80:2-3, 15-16, 18-19","Is 63:16b-17, 19b; 64:2-7",3-Dec-17,Mk 13:33-37,First Sunday of Advent
Ps 80:4,,"Ps 122:1-2, 3-4b, 4cd-5, 6-7, 8-9",Is 2:1-5,4-Dec-17,Mt 8:5-11,Monday of the First Week of Advent
,,"Ps 72:1-2, 7-8, 12-13, 17",Is 11:1-10,5-Dec-17,Lk 10:21-24,Tuesday of the First Week of Advent
,,"Ps 23:1-3a, 3b-4, 5, 6",Is 25:6-10a,6-Dec-17,Mt 15:29-37,Wednesday of the First Week of Advent
Is 55:6,,"Ps 118:1, 8-9, 19-21, 25-27a",Is 26:1-6,7-Dec-17,"Mt 7:21, 24-27","Memorial of Saint Ambrose, Bishop, Doctor of the Church"
Lk 1:28,"Eph 1:3-6, 11-12","Ps 98:1, 2-3ab, 3cd-4","Gn 3:9-15, 20",8-Dec-17,Lk 1:26-38,Solemnity of the Immaculate Conception of the Blessed Virgin April
Is 33:22,,"Ps 147:1-2, 3-4, 5-6","Is 30:19-21, 23-26",9-Dec-17,"Mt 9:35-10:1, 5a, 6-8",Saturday of the First Week of Advent
"Lk 3:4, 6",2 Pt 3:8-14,"Ps 85:9-10-11-12, 13-14","Is 40:1-5, 9-11",10-Dec-17,Mk 1:1-8,Second Sunday of Advent
,,"Ps 85:9ab, 10, 11-12, 13-14",Is 35:1-10,11-Dec-17,Lk 5:17-26,Monday of the Second Week of Advent
,,"Judith 13:18bcde, 19",Zec 2:14-17,12-Dec-17,Lk 1:26-38,Feast of Our Lady of Guadalupe
,,"Ps 103:1-2, 3-4, 8, 10",Is 40:25-31,13-Dec-17,Mt 11:28-30,"Memorial of Saint Lucy, Virgin, Martyr"
Is 45:8,,"Ps 145:1, 9, 10-11, 12-13ab",Is 41:13-20,14-Dec-17,Mt 11:11-15,"Memorial of Saint John of the Cross, Priest, Doctor of the Church"
,,"Ps 1:1-2, 3, 4, 6",Is 48:17-19,15-Dec-17,Mt 11:16-19,Friday of the Second Week of Advent
"Lk 3:4, 6",,"Ps 80:2ac, 3b, 15-16, 18-19","Sir 48:1-4, 9-11",16-Dec-17,"Mt 17:9a, 10-13",Saturday of the Second Week of Advent
Is 61:1,1 Thes 5:16-24,"Lk 1:46-48, 49-50, 53-54","Is 61:1-2a, 10-11",17-Dec-17,"Jn 1:6-8, 19-28",Third Sunday of Advent
,,"Ps 72:1-2, 12-13, 18-19",Jer 23:5-8,18-Dec-17,Mt 1:18-25,Monday of the Third Week of Advent
