Acclamation,SecondReading,Psalm,FirstReading,Date,Gospel,Day
Jl 2:12-13,,"Ps 95:1-2, 6-7, 8-9",Jer 7:23-28,23-Mar-17,Lk 11:14-23,Thursday of the Third Week of Lent
Mt 4:17,,"Ps 81:6c-8a, 8bc-9, 10-11ab, 14, 17",Hos 14:2-10,24-Mar-17,Mk 12:28-34,Friday of the Third Week of Lent
Jn 1:14b,Heb 10:4-10,"Ps 40:7-8a, 8b-9, 10, 11",Is 7:10-14 ; 8:10,25-Mar-17,Lk 1:26-38,Solemnity of the Annunciation of the Lord
Jn 8:12,Eph 5:8-14,"Ps 23: 1-3a, 3b-4, 5, 6","1 Sm 16:1b, 6-7, 10-13a",26-Mar-17,Jn 9:1-41,Fourth Sunday of Lent
Am 5:14,,"Ps 30:2, 4, 5-6, 11-12a, 13b",Is 65:17-21,27-Mar-17,Jn 4:43-54,Monday of the Fourth Week of Lent
"Ps 51:12a, 14a",,"Ps 46:2-3, 5-6, 8-9","Ez 47:1-9, 12",28-Mar-17,Jn 5:1-16,Tuesday of the Fourth Week of Lent
"Jn 11:25a, 26",,"Ps 145:8-9, 13cd-14, 17-18",Is 49:8-15,29-Mar-17,Jn 5:17-30,Wednesday of the Fourth Week of Lent
Jn 3:16,,"Ps 106:19-20, 21-22, 23",Ex 32:7-14,30-Mar-17,Jn 5:31-47,Thursday of the Fourth Week of Lent
Mt 4:4b,,"Ps 34:17-18, 19-20, 21, 23","Wis 2:1a, 12-22",31-Mar-17,"Jn 7:1-2, 10, 25-30",Friday of the Fourth Week of Lent
Lk 8:15,,"Ps 7:2-3, 9bc-10, 11-12",Jer 11:18-20,1-Apr-17,Jn 7:40-53,Saturday of the Fourth Week of Lent
"Jn 11:25a, 26",Rom 8:8-11,"Ps 130:1-2, 3-4, 5-6, 7-8",Ez 37:12-14,2-Apr-17,Jn 11:1-45,Fifth Sunday of Lent
Ez 33:11,,"Ps 23:1-3a, 3b-4, 5, 6","Dn 13:1-9, 15-17, 19-30, 33-62",3-Apr-17,Jn 8:1-11,Monday of the Fifth Week of Lent
,,"Ps 102:2-3, 16-18, 19-21",Nm 21:4-9,4-Apr-17,Jn 8:21-30,Tuesday of the Fifth Week of Lent
Lk 8:15,,"Dn 3:52, 53, 54, 55, 56","Dn 3:14-20, 91-92, 95",5-Apr-17,Jn 8:31-42,Wednesday of the Fifth Week of Lent
Ps 95:8,,"Ps 105:4-5, 6-7, 8-9",Gn 17:3-9,6-Apr-17,Jn 8:51-59,Thursday of the Fifth Week of Lent
"Jn 6:63c, 68c",,"Ps 18:2-3a, 3bc-4, 5-6, 7",Jer 20:10-13,7-Apr-17,Jn 10:31-42,Friday of the Fifth Week of Lent
Ez 18:31,,"Jer 31:10, 11-12abcd, 13",Ez 37:21-28,8-Apr-17,Jn 11:45-56,Saturday of the Fifth Week of Lent
Phil 2:8-9,Phil 2:6-11,"Ps 22:8-9, 17-18, 19-20, 23-24",Is 50:4-7,9-Apr-17,Mt 26:14-27:66,Palm Sunday of the Lord's Passion
,,"Ps 27:1, 2, 3, 13-14",Is 42:1-7,10-Apr-17,Jn 12:1-11,Monday of Holy Week
,,"Ps 71:1-2, 3-4a, 5ab-6ab, 15, 17",Is 49:1-6,11-Apr-17,"Jn 13:21-33, 36-38",Tuesday of Holy Week
,,"Ps 69:8-10, 21-22, 31, 33-34",Is 50:4-9a,12-Apr-17,Mt 26:14-25,Wednesday of Holy Week
Jn 13:34,1 Cor 11:23-26,"Ps 116:12-13, 15-16bc, 17-18","Ex 12:1-8, 11-14",13-Apr-17,Jn 13:1-15,Holy Thursday
Phil 2:8-9,Heb 4:14-16 ;  5:7-9,"Ps 31:2, 6, 12-13, 15-16, 17, 25",Is 52:13-53:12,14-Apr-17,Jn 18:1-19:42,Good Friday of the Lord's Passion
"Ps 118:1-2, 16-17, 22-23",Gn 22:1-18,"Ps 104:1-2, 5-6, 10, 12, 13-14, 24, 35",Gn 1:1-2:2,15-Apr-17,Mt 28:1-10,Holy Saturday
1 Cor 5:7b-8a,Col 3:1-4,"Ps 118:1-2, 16-17, 22-23","Acts 10:34a, 37-43",16-Apr-17,Jn 20:1-9,The Resurrection of the Lord
Ps 118:24,,"Ps 16:1-2a, 5, 7-8, 9-10, 11","Acts 2:14, 22-33",17-Apr-17,Mt 28:8-15,Monday in the Octave of Easter
Ps 118:24,,"Ps 33:4-5, 18-19, 20, 22",Acts 2:36-41,18-Apr-17,Jn 20:11-18,Tuesday in the Octave of Easter
Ps 118:24,,"Ps 105:1-2, 3-4, 6-7, 8-9",Acts 3:1-10,19-Apr-17,Lk 24:13-35,Wednesday in the Octave of Easter
Ps 118:24,,"Ps 8:2ab, 5, 6-7, 8-9",Acts 3:11-26,20-Apr-17,Lk 24:35-48,Thursday in the Octave of Easter
Ps 118:24,,"Ps 118:1-2, 4, 22-24, 25-27a",Acts 4:1-12,21-Apr-17,Jn 21:1-14,Friday in the Octave of Easter
Ps 118:24,,"Ps 118:1, 14-15ab, 16-18, 19-21",Acts 4:13-21,22-Apr-17,Mk 16:9-15,Saturday in the Octave of Easter
Jn 20:29,1 Pt 1:3-9,"Ps 118:2-4, 13-15, 22-24",Acts 2:42-47,23-Apr-17,Jn 20:19-31,Second Sunday of Easter (or Sunday of Divine Mercy)
Col 3:1,,"Ps 2:1-3, 4-7a, 7b-9",Acts 4:23-31,24-Apr-17,Jn 3:1-8,Monday of the Second Week of Easter
1 Cor 1:23a-24b,,"Ps 89:2-3, 6-7, 16-17",1 Pt 5:5b-14,25-Apr-17,Mk 16:15-20,"Feast of Saint April   , evangelist"
Jn 3:16,,"Ps 34:2-3, 4-5, 6-7, 8-9",Acts 5:17-26,26-Apr-17,Jn 3:16-21,Wednesday of the Second Week of Easter
Jn 20:29,,"Ps 34:2, 9, 17-18, 19-20",Acts 5:27-33,27-Apr-17,Jn 3:31-36,Thursday of the Second Week of Easter
Mt 4:4b,,"Ps 27:1, 4, 13-14",Acts 5:34-42,28-Apr-17,Jn 6:1-15,Friday of the Second Week of Easter
,,"Ps 33:1-2, 4-5, 18-19",Acts 6:1-7,29-Apr-17,Jn 6:16-21,"Memorial of Saint Catherine of Siena, Virgin, Doctor of the Church"
Lk 24:32,1 Pt 1:17-21,"Ps 16:1-2, 5, 7-8, 9-10, 11","Acts 2:14, 22-33",30-Apr-17,Lk 24:13-35,Third Sunday of Easter
Mt 4:4b,,"Ps 119:23-24, 26-27, 29-30",Acts 6:8-15,1-May-17,Jn 6:22-29,Monday of the Third Week of Easter
Jn 6:35ab,,"Ps 31:3cd-4, 6, 7b, 8a, 17, 21ab",Acts 7:51-8:1a,2-May-17,Jn 6:30-35,"Memorial of Saint Athanasius, Bishop, Doctor of the Church"
"Jn 14:6b, 9c",,"Ps 19:2-3, 4-5",1 Cor 15:1-8,3-May-17,Jn 14:6-14,"Feast of Saints Philip, James, Apostles"
Jn 6:51,,"Ps 66:8-9, 16-17, 20",Acts 8:26-40,4-May-17,Jn 6:44-51,Thursday of the Third Week of Easter
Jn 6:56,,"Ps 117:1bc, 2",Acts 9:1-20,5-May-17,Jn 6:52-59,Friday of the Third Week of Easter
"Jn 6:63c, 68c",,"Ps 116:12-13, 14-15, 16-17",Acts 9:31-42,6-May-17,Jn 6:60-69,Saturday of the Third Week of Easter
Jn 10:14,1 Pt 2:20b-25,"Ps 23: 1-3a, 3b4, 5, 6","Acts 2:14a, 36-41",7-May-17,Jn 10:1-10,Fourth Sunday of Easter
Jn 10:14,,"Ps 42:2-3; 43:3, 4",Acts 11:1-18,8-May-17,Jn 10:11-18,Monday of the Fourth Week of Easter
Jn 10:27,,"Ps 87:1b-3, 4-5, 6-7",Acts 11:19-26,9-May-17,Jn 10:22-30,Tuesday of the Fourth Week of Easter
Jn 8:12,,"Ps 67:2-3, 5, 6, 8",Acts 12:24-13:5a,10-May-17,Jn 12:44-50,Wednesday of the Fourth Week of Easter
Rv 1:5ab,,"Ps 89:2-3, 21-22, 25, 27",Acts 13:13-25,11-May-17,Jn 13:16-20,Thursday of the Fourth Week of Easter
Jn 14:6,,"Ps 2:6-7, 8-9, 10-11ab",Acts 13:26-33,12-May-17,Jn 14:1-6,Friday of the Fourth Week of Easter
Jn 8:31b-32,,"Ps 98:1, 2-3ab, 3cd-4",Acts 13:44-52,13-May-17,Jn 14:7-14,Saturday of the Fourth Week of Easter
Jn 14:6,1 Pt 2:4-9,"Ps 33:1-2, 4-5, 18-19",Acts 6:1-7,14-May-17,Jn 14:1-12,Fifth Sunday of Easter
Jn 14:26,,"Ps 115:1-2, 3-4, 15-16",Acts 14:5-18,15-May-17,Jn 14:21-26,Monday of the Fifth Week of Easter
"Lk 24:46, 26",,"Ps 145:10-11, 12-13ab, 21",Acts 14:19-28,16-May-17,Jn 14:27-31a,Tuesday of Fifth Week of Easter
"Jn 15:4a, 5b",,"Ps 122:1-2, 3-4ab, 4cd-5",Acts 15:1-6,17-May-17,Jn 15:1-8,Wednesday of the Fifth Week of Easter
Jn 10:27,,"Ps 96:1-2a, 2b-3, 10",Acts 15:7-21,18-May-17,Jn 15:9-11,Thursday of the Fifth Week of Easter
Jn 15:15b,,"Ps 57:8-9, 10, 12",Acts 15:22-31,19-May-17,Jn 15:12-17,Friday of the Fifth Week of Easter
Col 3:1,,"Ps 100:1b-2, 3, 5",Acts 16:1-10,20-May-17,Jn 15:18-21,Saturday of the Fifth Week of Easter
Jn 14:23,1 Pt 3:15-18,"Ps 66:1-3, 4-5, 6-7, 16, 20","Acts 8:5-8, 14-17",21-May-17,Jn 14:15-21,Sixth Sunday of Easter
"Jn 15:26b, 27a",,"Ps 149:1b-2, 3-4, 5-6a, 9b",Acts 16:11-15,22-May-17,Jn 15:26-16:4a,Monday of the Sixth Week of Easter
"Jn 16:7, 13",,"Ps 138:1-2ab, 2cde-3, 7c-8",Acts 16:22-34,23-May-17,Jn 16:5-11,Tuesday of the Sixth Week of Easter
Jn 14:16,,"Ps 148:1-2, 11-12, 13, 14","Acts 17:15, 22-18:1",24-May-17,Jn 16:12-15,Wednesday of the Sixth Week of Easter
Jn 14:18,,"Ps 98:1, 2-3ab, 3cd-4",Acts 18:1-8,25-May-17,Jn 16:16-20,Thursday of the Sixth Week of Easter
"Lk 24:46, 26",,"Ps 47:2-3, 4-5, 6-7",Acts 18:9-18,26-May-17,Jn 16:20-23,"Memorial of Saint Philip April   , Priest"
Jn 16:28,,"Ps 47:2-3, 8-9, 10",Acts 18:23-28,27-May-17,Jn 16:23b-28,Saturday of the Sixth Week of Easter
Col 3:1,,"Ps 68:2-3ab, 4-5acd, 6-7ab",Acts 19:1-8,29-May-17,Jn 16:29-33,Monday of the Seventh Week of Easter
Jn 14:16,,"Ps 68:10-11, 20-21",Acts 20:17-27,30-May-17,Jn 17:1-11a,Tuesday of the Seventh Week of Easter
Lk 1:45,,"Isaiah 12:2-3, 4bcd, 5-6",Zep 3:14-18a,31-May-17,Lk 1:39-56,Feast of the Visitation of the Blessed Virgin April
Jn 17:21,,"Ps 16:1-2a, 5, 7-8, 9-10, 11",Acts 22:30; 23:6-11,1-Jun-17,Jn 17:20-26,"Memorial of Saint Justin, Martyr"
Jn 14:26,,"Ps 103:1-2, 11-12, 19-20ab",Acts 25:13b-21,2-Jun-17,Jn 21:15-19,Friday of the Seventh Week of Easter
"Jn 16:7, 13",,"Ps 11:4, 5, 7","Acts 28:16-20, 30-31",3-Jun-17,Jn 21:20-25,"Memorial of Saint Charles Lwanga, Companions, Martyrs"
,"1 Cor 12:3b-7, 12-13","Ps 104:1, 24, 29-30, 31, 34",Acts 2:1-11,4-Jun-17,Jn 20:19-23,Pentecost Sunday (daytime)
Rv 1:5ab,,"Ps 112:1b-2, 3b-4, 5-6",Tb 1:3; 2:1a-8,5-Jun-17,Mk 12:1-12,"Memorial of Saint Boniface, Bishop, Martyr"
Eph 1:17-18,,"Ps 112:1-2, 7-8, 9",Tb 2:9-14,6-Jun-17,Mk 12:13-17,Tuesday of the Ninth Week in Ordinary Time
"Jn 11:25a, 26",,"Ps 25:2-3, 4-5ab, 6, 7bc, 8-9","Tb 3:1-11a, 16-17a",7-Jun-17,Mk 12:18-27,Wednesday of the Ninth Week in Ordinary Time
2 Tm 1:10,,"Ps 128:1-2, 3, 4-5","Tb 6:10-11; 7:1bcde, 9-17; 8:4-9a",8-Jun-17,Mk 12:28-34,Thursday of the Ninth Week in Ordinary Time
Jn 14:23,,"Ps 146:1b-2, 6c-7, 8-9a, 9bc-10",Tb 11:5-17,9-Jun-17,Mk 12:35-37,Friday of the Ninth Week in Ordinary Time
Mt 5:3,,"Tobit 13:2, 6efgh, 7, 8","Tb 12:1, 5-15, 20",10-Jun-17,Mk 12:38-44,Saturday of the Ninth Week in Ordinary Time
Rv 1:8,2 Cor 13:11-13,"Dn 3:52, 53, 54, 55, 56","Ex 34:4b-6, 8-9",11-Jun-17,Jn 3:16-18,The Solemnity of the Most Holy Trinity
Mt 5:12a,,"Ps 34:2-3, 4-5, 6-7, 8-9",2 Cor1:1-7,12-Jun-17,Mt 5:1-12,Monday of the Tenth Week in Ordinary Time
Mt 5:16,,"Ps 119:129, 130, 131, 132, 133, 135",2 Cor 1:18-22,13-Jun-17,Mt 5:13-16,"Memorial of Saint Anthony of Padua, Priest, Doctor of the Church"
"Ps 25:4b, 5a",,"Ps 99:5, 6, 7, 8, 9",2 Cor 3:4-11,14-Jun-17,Mt 5:17-19,Wednesday of the Tenth Week in Ordinary Time
Jn 13:34,,"Ps 85:9ab, 10, 11-12, 13-14","2 Cor 3:15-4:1, 3-6",15-Jun-17,Mt 5:20-26,Thursday of the Tenth Week in Ordinary Time
"Phil 2:15d, 16a",,"Ps 116:10-11, 15-16, 17-18",2 Cor 4:7-15,16-Jun-17,Mt 5:27-32,Friday of the Tenth Week in Ordinary Time
"Ps 119:36a, 29b",,"Ps 103:1-2, 3-4, 9-10, 11-12",2 Cor 5:14-21,17-Jun-17,Mt 5:33-37,Saturday of the Tenth Week in Ordinary Time
Jn 6:51,1 Cor 10:16-17,"Ps 147:12-13, 14-15, 19-20","Dt 8:2-3, 14b-16a",18-Jun-17,Jn 6:51-58,"Solemnity of the Body, Blood of Christ"
Ps 119:105,,"Ps 98:1, 2b, 3ab, 3cd-4",2 Cor 6:1-10,19-Jun-17,Mt 5:38-42,Monday of the Eleventh Week in Ordinary Time
Jn 13:34,,"Ps 146:2, 5-6ab, 6c- 7, 8-9a",2 Cor 8:1-9,20-Jun-17,Mt 5:43-48,Tuesday of the Eleventh Week in Ordinary Time
Jn 14:23,,"Ps 112:1bc-2, 3-4, 9",2 Cor 9:6-11,21-Jun-17,"Mt 6:1-6, 16-18","Memorial of Saint Aloysius Gonzaga, Religious"
Rom 8:15bc,,"Ps 111:1b-2, 3-4, 7-8",2 Cor 11:1-11,22-Jun-17,Mt 6:7-15,Thursday of the Eleventh Week in Ordinary Time
Mt 11:29ab,1 Jn 4:7-16,"Ps 103:1-2, 3-4, 6-7, 8, 10",Dt 7:6-11,23-Jun-17,Mt 11:25-30,Solemnity of Most Sacred Heart of Jesus
Lk 1:76,Acts 13:22-26,"Ps 139:1b-3, 13-14ab, 14c-15",Is 49:1-6,24-Jun-17,"Lk 1:57-66, 80",Solemnity of the Nativity of Saint John the Baptist
"Jn 15:26b, 27a",Rom 5:12-15,"Ps 69:8-10, 14, 17, 33-35",Jer 20:10-13,25-Jun-17,Mt 10:26-33,Twelfth Sunday in Ordinary Time
Heb 4:12,,"Ps 33:12-13, 18-19, 20, 22",Gn 12:1-9,26-Jun-17,Mt 7:1-5,Monday of the Twelfth Week in Ordinary Time
Jn 8:12,,"Ps 15:2-3a, 3bc-4ab, 5","Gn 13:2, 5-18",27-Jun-17,"Mt 7:6, 12-14",Tuesday of the Twelfth Week in Ordinary Time
"Jn 15:4a, 5b",,"Ps 105:1-2, 3-4, 6-7, 8-9","Gn 15:1-12, 17-18",28-Jun-17,Mt 7:15-20,"Memorial of Saint Irenaeus, Bishop, Martyr"
Mt 16:18,,"Ps 34:2-3, 4-5, 6-7, 8-9",Acts 12:1-11,29-Jun-17,Mt 16:13-19,Solemnity of Saints Peter and Paul
Mt 8:17,,"Ps 128:1-2, 3, 4-5","Gn 17:1, 9-10, 15-22",30-Jun-17,Mt 8:1-4,Friday of the Twelfth Week in Ordinary Time
Mt 8:17,,"Luke 1:46-47, 48-49, 50, 53, 54-55",Gn 8:1-15,1-Jul-17,Mt 8:5-17,Saturday of the Twelfth Week in Ordinary Time
1 Pt 2:19,"Rom 6:3-4, 8-11","Ps 89:2-3, 16-17, 18-19","2 Kgs 4:8-11, 14-16a",2-Jul-17,Mt 10:37-42,Thirteenth Sunday in Ordinary Time
Jn 20:29,,"Ps 117:1bc, 2",Eph 2:19-22,3-Jul-17,Jn 20:24-29,"Feast of Saint Thomas, Apostle"
Ps 130:5,,"Ps 26:2-3, 9-10, 11-12",Gn 19:15-29,4-Jul-17,Mt 8:23-27,Tuesday of the Thirteenth Week in Ordinary Time
Jas 1:18,,"Ps 34:7-8, 10-11, 12-13","Gn 21:5, 8-20a",5-Jul-17,Mt 8:28-34,Wednesday of the Thirteenth Week in Ordinary Time
2 Cor 5:19,,"Ps 115:1-2, 3-4, 5-6, 8-9",Gn 22:1b-19,6-Jul-17,Mt 9:1-8,Thursday of the Thirteenth Week in Ordinary Time
Mt 11:28,,"Ps 106:1b-2, 3-4a, 4b-5","Gn 23:1-4, 19; 24:1-8, 62-67",7-Jul-17,Mt 9:9-13,Friday of the Thirteenth Week in Ordinary Time
Jn 10:27,,"Ps 135:1b-2, 3-4, 5-6","Gn 27:1-5, 15-29",8-Jul-17,Mt 9:14-17,Saturday of the Thirteenth Week in Ordinary Time
Mt 11:25,"Rom 8:9, 11-13","Ps 145:1-2, 8-9, 10-11, 13-14",Zec 9:9-10,9-Jul-17,Mt 11:25-30,Fourteenth Sunday in Ordinary Time
2 Tm 1:10,,"Ps 91:1-2, 3-4, 14-15ab",Gn 28:10-22a,10-Jul-17,Mt 9:18-26,Monday of the Fourteenth Week in Ordinary Time
Jn 10:14,,"Ps 17:1b, 2-3, 6-7ab, 8b, 15",Gn 32:23-33,11-Jul-17,Mt 9:32-38,"Memorial of Saint Benedict, Abbot"
Mk 1:15,,"Ps 33:2-3, 10-11, 18-19","Gn 41:55-57; 42:5-7a, 17-24a",12-Jul-17,Mt 10:1-7,Wednesday of the Fourteenth Week in Ordinary Time
Mk 1:15,,"Ps 105:16-17, 18-19, 20-21","Gn 44:18-21, 23b-29; 45:1-5",13-Jul-17,Mt 10:7-15,Thursday of the Fourteenth Week in Ordinary Time
"Jn 16:13a, 14:26d",,"Ps 37:3-4, 18-19, 27-28, 39-40","Gn 46:1-7, 28-30",14-Jul-17,Mt 10:16-23,"Memorial of Saint Kateri Tekakwitha, Virgin"
1 Pt 4:14,,"Ps 105:1-2, 3-4, 6-7",Gn 49:29-32; 50:15-26a,15-Jul-17,Mt 10:24-33,"Memorial of Saint Bonaventure, Bishop, Doctor of the Church"
,Rom 8:18-23,"Ps 65:10, 11, 12-13, 14",Is 55:10-11,16-Jul-17,Mt 13:1-23,Fifteenth Sunday in Ordinary Time
Mt 5:10,,"Ps 124:1b-3, 4-6, 7-8","Ex 1:8-14, 22",17-Jul-17,Mt 10:34-11:1,Monday of the Fifteenth Week in Ordinary Time
Ps 95:8,,"Ps 69:3, 14, 30-31, 33-34",Ex 2:1-15a,18-Jul-17,Mt 11:20-24,Tuesday of the Fifteenth Week in Ordinary Time
Mt 11:25,,"Ps 103:1b-2, 3-4, 6-7","Ex 3:1-6, 9-12",19-Jul-17,Mt 11:25-27,Wednesday of the Fifteenth Week in Ordinary Time
Mt 11:28,,"Ps 105:1, 5, 8-9, 24-25, 26-27",Ex 3:13-20,20-Jul-17,Mt 11:28-30,Thursday of the Fifteenth Week in Ordinary Time
Jn 10:27,,"Ps 116:12-13, 15, 16bc, 17-18",Ex 11:10-12:14,21-Jul-17,Mt 12:1-8,Friday of the Fifteenth Week in Ordinary Time
,,"Ps 63:2, 3-4, 5-6, 8-9",Sgs 3:1-4b,22-Jul-17,"Jn 20:1-2, 11-18",Feast of Saint April Magdalene
Mt 11:25,Rom 8:26-27,"Ps 86:5-6, 9-10, 15-16","Wis 12:13, 16-19",23-Jul-17,Mt 13:24-43,Sixteenth Sunday in Ordinary Time
Ps 95:8,,"Ex 15:1bc-2, 3-4, 5-6",Ex 14:5-18,24-Jul-17,Mt 12:38-42,Monday of the Sixteenth Week in Ordinary Time
Jn 15:16,,"Ps 126:1bc-2ab, 2cd-3, 4-5, 6",2 Cor 4:7-15,25-Jul-17,Mt 20:20-28,"Feast of Saint James, Apostle"
,,"Ps 78:18-19, 23-24, 25-26, 27-28","Ex 16:1-5, 9-15",26-Jul-17,Mt 13:1-9,"Memorial of Saints Joachim, Anne, Parents of the Blessed Virgin April"
Mt 11:25,,"Daniel 3:52, 53, 54, 55, 56","Ex 19:1-2, 9-11, 16-20b",27-Jul-17,Mt 13:10-17,Thursday of the Sixteenth Week in Ordinary Time
Lk 8:15,,"Ps 19:8, 9, 10, 11",Ex 20:1-17,28-Jul-17,Mt 13:18-23,Friday of the Sixteenth Week in Ordinary Time
Jn 8:12,,"Ps 50:1b-2, 5-6, 14-15",Ex 24:3-8,29-Jul-17,Jn 11:19-27,Memorial of Saint Martha
Mt 11:25,Rom 8:28-30,"Ps 119:57, 72, 76-77, 127-128, 129-130","1 Kgs 3:5, 7-12",30-Jul-17,Mt 13:44-52,Seventeenth Sunday in Ordinary Time
Jas 1:18,,"Ps 106:19-20, 21-22, 23","Ex 32:15-24, 30-34",31-Jul-17,Mt 13:31-35,"Memorial of Saint Ignatius of Loyola, Priest"
,,"Ps 103:6-7, 8-9, 10-11, 12-13","Ex 33:7-11; 34:5b-9, 28",1-Aug-17,Mt 13:36-43,"Memorial of Saint Alphonsus Liguori, Bishop, Doctor of the Church"
Jn 15:15b,,"Ps 99:5, 6, 7, 9",Ex 34:29-35,2-Aug-17,Mt 13:44-46,Wednesday of the Seventeenth Week in Ordinary Time
Acts 16:14b,,"Ps 84:3, 4, 5-6a, 8a, 11","Ex 40:16-21, 34-38",3-Aug-17,Mt 13:47-53,Thursday of the Seventeenth Week in Ordinary Time
1 Pt 1:25,,"Ps 81:3-4, 5-6, 10-11ab","Lv 23:1, 4-11, 15-16, 27, 34b-37",4-Aug-17,Mt 13:54-58,"Memorial of Saint John Vianney, Priest"
Mt 5:10,,"Ps 67:2-3, 5, 7-8","Lv 25:1, 8-17",5-Aug-17,Mt 14:1-12,Saturday of the Seventeenth Week in Ordinary Time
Mt 17:5c,2 Pt 1:16-19,"Ps 97:1-2, 5-6, 9","Dn 7:9-10, 13-14",6-Aug-17,Mt 17:1-9,Feast of the Transfiguration of the Lord
Mt 4:4,,"Ps 81:12-13, 14-15, 16-17",Nm 11:4b-15,7-Aug-17,Mt 14:13-21,Monday of the Eighteenth Week in Ordinary Time
Jn 1:49b,,"Ps 51:3-4, 5-6ab, 6cd-7, 12-13",Nm 12:1-13,8-Aug-17,Mt 14:22-36,Tuesday of the Eighteenth Week in Ordinary Time
Lk 7:16,,"Ps 106:6-7ab, 13-14, 21-22, 23","Nm 13:1-2, 25-14:1, 26a-29a, 34-35",9-Aug-17,Mt 15: 21-28,Wednesday of the Eighteenth Week in Ordinary Time
Jn 8:12bc,,"Ps 112:1-2, 5-6, 7-8, 9",2 Cor 9:6-10,10-Aug-17,Jn 12:24-26,"Feast of Saint Lawrence, deacon, martyr"
Mt 5:10,,"Ps 77:12-13, 14-15, 16, 21",Dt 4:32-40,11-Aug-17,Mt 16:24-28,"Memorial of Saint Clare, Virgin"
2 Tm 1:10,,"Ps 18:2-3a, 3bc-4, 47, 51",Dt 6:4-13,12-Aug-17,Mt 17:14-20,Saturday of the Eighteenth Week in Ordinary Time
Ps 130:5,Rom 9:1-5,"Ps 85:9, 10, 11-12, 13-14","1 Kgs 19:9a, 11-13a",13-Aug-17,Mt 14:22-33,Nineteenth Sunday in Ordinary Time
2 Thes 2:14,,"Ps 148:1-2, 11-12, 13, 14","Ez 1:2-5, 24-28c",14-Aug-17,Mt 17:22-27,"Memorial of Saint Maximilian Kolbe, Priest, Martyr"
,1 Cor 15:20-27,"Ps 45:10, 11, 12, 16","Rv 11:19a; 12:1-6a, 10ab",15-Aug-17,Lk 1:39-56,Solemnity of the Assumption of the Blessed Virgin
2 Cor 5:19,,"Ps 66:1-3a, 5, 8, 16-17",Dt 34:1-12,16-Aug-17,Mt 18:15-20,Wednesday of the Nineteenth Week in Ordinary Time
Ps 119:135,,"Ps 114:1-2, 3-4, 5-6","Jos 3:7-10a, 11, 13-17",17-Aug-17,Mt 18:21-19:1,Thursday of the Nineteenth Week in Ordinary Time
1 Thes 2:13,,"Ps 136:1-3, 16-18, 21-22, 24",Jos 24:1-13,18-Aug-17,Mt 19:3-12,Friday of the Nineteenth Week in Ordinary Time
Mt 11:25,,"Ps 16:1-2a, 5, 7-8, 11",Jos 24:14-29,19-Aug-17,Mt 19:13-15,Saturday of the Nineteenth Week in Ordinary Time
Mt 4:23,"Rom 11:13-15, 29-32","Ps 67:2-3, 5, 6, 8","Is 56:1, 6-7",20-Aug-17,Mt 15:21-28,Twentieth Sunday in Ordinary Time
Mt 5:3,,"Ps 106:34-35, 36-37, 39-40, 43ab, 44",Jgs2:11-19,21-Aug-17,Mt 19:16-22,"Memorial of Saint Pius X, Pope"
2 Cor 8:9,,"Ps 85:9, 11-12, 13-14",Jgs 6:11-24a,22-Aug-17,Mt 19:23-30,Memorial of the Queenship of the Blessed Virgin April
Heb 4:12,,"Ps 21:2-3, 4-5, 6-7",Jgs 9:6-15,23-Aug-17,Mt 20:1-16,Wednesday of the Twentieth Week in Ordinary Time
Jn 1:49b,,"Ps 145:10-11, 12-13, 17-18",Rv 21:9b-14,24-Aug-17,Jn 1:45-51,"Feast of Saint Bartholomew, Apostle"
"Ps 25:4b, 5a",,"Ps 146:5-6ab, 6c-7, 8-9a, 9bc-10","Ru 1:1, 3-6, 14b-16, 22",25-Aug-17,Mt 22:34-40,Friday of the Twentieth Week in Ordinary Time
"Mt 23:9b, 10b",,"Ps 128:1b-2, 3, 4, 5","Ru 2:1-3, 8-11; 4:13-17",26-Aug-17,Mt 23:1-12,Saturday of the Twentieth Week in Ordinary Time
Mt 16:18,Rom 11:33-36,"Ps 138:1-2, 2-3, 6, 8",Is 22:19-23,27-Aug-17,Mt 16:13-20,Twenty-first Sunday in Ordinary Time
Jn 10:27,,"Ps 149:1b-2, 3-4, 5-6a, 9b","1 Thes 1:1-5, 8b-10",28-Aug-17,Mt 23:13-22,"Memorial of Saint Augustine, Bishop, Doctor of the Church"
Mt 5:10,,"Ps 139:1-3, 4-6",1 Thes 2:1-8,29-Aug-17,Mk 6:17-29,Memorial of the Passion of Saint John the Baptist
1 Jn 2:5,,"Ps 139:7-8, 9-10, 11-12ab",1 Thes 2:9-13,30-Aug-17,Mt 23:27-32,Wednesday of the Twenty-first Week in Ordinary Time
"Mt 24:42a, 44",,"Ps 90:3-5a, 12-13, 14, 17",1 Thes 3:7-13,31-Aug-17,Mt 24:42-51,Thursday of the Twenty-first Week in Ordinary Time
Lk 21:36,,"Ps 97:1, 2b, 5-6, 10, 11-12",1 Thes 4:1-8,1-Sep-17,Mt 25:1-13,Friday of the Twenty-first Week in Ordinary Time
Jn 13:34,,"Ps 98:1, 7-8, 9",1 Thes 4:9-11,2-Sep-17,Mt 25:14-30,Saturday of the Twenty-first Week in Ordinary Time
Mt 11:29ab,Rom 12:1-2,"Ps 63:2, 3-4, 5-6, 8-9",Jer 20:7-9,3-Sep-17,Mt 16:21-27,Twenty-second Sunday in Ordinary Time
